dataset,detector,seed,support,score_floor,images,detections_per_image,zero_detection_images,percent_zero_detection_images,detection_count,min,max,mean,median,q_0.01,q_0.05,q_0.25,q_0.5,q_0.75,q_0.95,q_0.99
internal,faster_rcnn,17,all_retained_candidates,1e-05,750,100.0,0,0.0,75000,1.4285516954259947e-05,0.9349318742752075,0.013769669023755995,0.00020105745352339,2.2738999177818187e-05,3.21923362207599e-05,7.426381489494815e-05,0.00020105745352339,0.000943619292229414,0.03150087241083392,0.46276445329189136
internal,faster_rcnn,17,ap_candidates,0.001,750,24.346666666666668,0,0.0,18260,0.0010005044750869274,0.9349318742752075,0.0559024722530733,0.004516427172347903,0.0010242064017802477,0.0011247574584558606,0.001908046193420887,0.004516427172347903,0.020395671017467976,0.39248234033584595,0.779760730266571
internal,faster_rcnn,17,historical_threshold,0.69,750,0.4693333333333333,507,67.60000000000001,352,0.6902981400489807,0.9349318742752075,0.7896229167553511,0.7838643789291382,0.6937364709377288,0.702110692858696,0.7412058562040329,0.7838643789291382,0.8344573974609375,0.899687510728836,0.9122351127862931
internal,faster_rcnn,17,posthoc_n5_threshold,0.7,750,0.4493333333333333,512,68.26666666666667,337,0.7004852294921875,0.9349318742752075,0.7938229036614166,0.7874411940574646,0.7030114269256592,0.707768177986145,0.7458614110946655,0.7874411940574646,0.8360866904258728,0.9007917761802673,0.9129968333244323
internal,faster_rcnn,42,all_retained_candidates,1e-05,750,97.32133333333333,0,0.0,72991,1.0011975064116996e-05,0.9713473320007324,0.007995724257644587,5.4546289902646095e-05,1.0616134204610717e-05,1.29059080791194e-05,2.4490827854606323e-05,5.4546289902646095e-05,0.0001896174217108637,0.004750582622364163,0.2533067166805348
internal,faster_rcnn,42,ap_candidates,0.001,750,10.242666666666667,47,6.266666666666667,7682,0.0010005044750869274,0.9713473320007324,0.07501700816295527,0.004281254485249519,0.0010182288242504,0.001113839098252356,0.0017891592578962445,0.004281254485249519,0.022462432738393545,0.6205885231494903,0.8998516637086864
internal,faster_rcnn,42,historical_threshold,0.69,750,0.43733333333333335,521,69.46666666666667,328,0.6914973258972168,0.9713473320007324,0.8292596074866085,0.8290771543979645,0.698216797709465,0.7077354907989502,0.7639022916555405,0.8290771543979645,0.8955225795507431,0.948070928454399,0.9645444297790527
internal,faster_rcnn,42,posthoc_n5_threshold,0.7,750,0.428,525,70.0,321,0.7016619443893433,0.9713473320007324,0.8321434588075798,0.8325091600418091,0.703834342956543,0.7110297679901123,0.7691669464111328,0.8325091600418091,0.8966140151023865,0.9494823217391968,0.9647104382514954
internal,faster_rcnn,137,all_retained_candidates,1e-05,750,100.0,0,0.0,75000,4.182262273388915e-05,0.8134608268737793,0.0136418164332017,0.000471011851914227,9.7615658887662e-05,0.00012881154543720186,0.00022211138275451958,0.000471011851914227,0.0017240936867892742,0.03782128542661667,0.4313624632358536
internal,faster_rcnn,137,ap_candidates,0.001,750,33.373333333333335,0,0.0,25030,0.0010005044750869274,0.8134608268737793,0.04017179366119304,0.0036856739316135645,0.0010202174307778478,0.0011008767178282142,0.0017207355704158545,0.0036856739316135645,0.013821961358189583,0.25830493867397303,0.6530038064718245
internal,faster_rcnn,137,historical_threshold,0.69,750,0.23733333333333334,621,82.8,178,0.6901415586471558,0.8134608268737793,0.7335576703039448,0.7288923561573029,0.6904067122936248,0.6929977655410766,0.7072402983903885,0.7288923561573029,0.7564114034175873,0.7925364702939988,0.8014218431711196
internal,faster_rcnn,137,posthoc_n5_threshold,0.7,750,0.19866666666666666,640,85.33333333333334,149,0.700177788734436,0.8134608268737793,0.7410471067332581,0.7405028939247131,0.7007146358489991,0.7020193696022033,0.7169622778892517,0.7405028939247131,0.7607395648956299,0.7945255041122437,0.8015569972991944
internal,faster_rcnn,271,all_retained_candidates,1e-05,750,99.98933333333333,0,0.0,74992,1.0090498108183965e-05,0.9698140025138855,0.006252869061358644,8.38230480439961e-05,1.6378393411287107e-05,2.7003115974366665e-05,4.832564445678145e-05,8.38230480439961e-05,0.00018235458992421627,0.002897753613069637,0.1402872174978184
internal,faster_rcnn,271,ap_candidates,0.001,750,8.784,71,9.466666666666667,6588,0.0010005044750869274,0.9698140025138855,0.06981451221452359,0.0038656304823234677,0.0010182288242504,0.0011008767178282142,0.001700722612440586,0.0038656304823234677,0.020186981651932,0.56520277261734,0.899865124821663
internal,faster_rcnn,271,historical_threshold,0.69,750,0.30933333333333335,572,76.26666666666667,232,0.6905069351196289,0.9698140025138855,0.8457288631591303,0.8564822673797607,0.696768406033516,0.7110818058252335,0.786130353808403,0.8564822673797607,0.9087382704019547,0.9506107926368713,0.9593920201063156
internal,faster_rcnn,271,posthoc_n5_threshold,0.7,750,0.30266666666666664,575,76.66666666666667,227,0.701508641242981,0.9698140025138855,0.8490451393148447,0.8592509031295776,0.7027856659889221,0.7245000004768372,0.7936590611934662,0.8592509031295776,0.9099064469337463,0.9506451845169067,0.959542328119278
internal,faster_rcnn,314,all_retained_candidates,1e-05,750,82.61333333333333,0,0.0,61960,1.0011975064116996e-05,0.9749884009361267,0.006336772498019338,2.637760917423293e-05,1.016963960864814e-05,1.086788597604027e-05,1.5266357877408154e-05,2.637760917423293e-05,7.031184213701636e-05,0.0014637441083323085,0.13918195948004436
internal,faster_rcnn,314,ap_candidates,0.001,750,4.884,162,21.6,3663,0.0010005044750869274,0.9749884009361267,0.10609155531453084,0.00562003580853343,0.0010302190203219652,0.0011293750954791905,0.001960835652425885,0.00562003580853343,0.04403931647539139,0.7966639220714562,0.939569947719574
internal,faster_rcnn,314,historical_threshold,0.69,750,0.3333333333333333,570,76.0,250,0.692225992679596,0.9749884009361267,0.852567834854126,0.8596340715885162,0.7012426120042801,0.7253676950931549,0.7914584130048752,0.8596340715885162,0.9153746962547302,0.958304226398468,0.9702033150196075
internal,faster_rcnn,314,posthoc_n5_threshold,0.7,750,0.3293333333333333,573,76.4,247,0.7029380202293396,0.9749884009361267,0.8544696588747898,0.8607792258262634,0.7112426292896271,0.7287159025669098,0.7941842377185822,0.8607792258262634,0.9156204462051392,0.958304226398468,0.9702499103546143
internal,yolo11s,17,all_retained_candidates,1e-05,750,8.742666666666667,18,2.4,6557,1.000134307105327e-05,0.6700419783592224,0.009582491182030363,4.71721614303533e-05,1.0206860715697984e-05,1.116055700549623e-05,1.8822320271283388e-05,4.71721614303533e-05,0.0002954786759801209,0.022703615576028797,0.3190971016883835
internal,yolo11s,17,ap_candidates,0.001,750,1.3586666666666667,445,59.333333333333336,1019,0.001000145566649735,0.6700419783592224,0.06106602499180156,0.007047876715660095,0.0010213653580285608,0.0011525528156198562,0.0021560119930654764,0.007047876715660095,0.042654452845454216,0.36441721916198716,0.5531769120693205
internal,yolo11s,17,historical_threshold,0.05,750,0.31733333333333336,610,81.33333333333333,238,0.05022605136036873,0.6700419783592224,0.23246954406509882,0.1863894984126091,0.050521881803870204,0.055214782990515236,0.09419243410229683,0.1863894984126091,0.33276380598545074,0.548716953396797,0.6420613265037536
internal,yolo11s,17,posthoc_n5_threshold,0.01,750,0.6013333333333334,547,72.93333333333332,451,0.010007843375205994,0.6700419783592224,0.13377086750898684,0.05531017854809761,0.010276632383465767,0.011480819899588823,0.02182644046843052,0.05531017854809761,0.200215682387352,0.4943503439426422,0.6192856729030609
internal,yolo11s,42,all_retained_candidates,1e-05,750,7.332,39,5.2,5499,1.0001305781770498e-05,0.532317578792572,0.009565486410225834,4.2675579607021064e-05,1.0184408056375105e-05,1.100151966966223e-05,1.7503117305750493e-05,4.2675579607021064e-05,0.0002049910690402612,0.026579166390001577,0.32962865471839875
internal,yolo11s,42,ap_candidates,0.001,750,1.0306666666666666,488,65.06666666666666,773,0.0010022919159382582,0.532317578792572,0.06744957741884271,0.009556551463901997,0.0010533857392147183,0.001151287741959095,0.0022337534464895725,0.009556551463901997,0.06587855517864227,0.3676871120929717,0.4678248107433318
internal,yolo11s,42,historical_threshold,0.05,750,0.29333333333333333,617,82.26666666666667,220,0.05057220160961151,0.532317578792572,0.21390247057107362,0.1727597862482071,0.051825342215597626,0.05576882921159267,0.09026251919567585,0.1727597862482071,0.32976824045181274,0.44703520089387877,0.4950220122933388
internal,yolo11s,42,posthoc_n5_threshold,0.01,750,0.5026666666666667,569,75.86666666666667,377,0.010096117854118347,0.532317578792572,0.13480858787133382,0.0720408633351326,0.010657313466072082,0.012052124924957752,0.024859413504600525,0.0720408633351326,0.21696050465106964,0.4232303142547607,0.49216008543968204
internal,yolo11s,137,all_retained_candidates,1e-05,750,2.192,330,44.0,1644,1.0002717317547649e-05,0.8757928013801575,0.04845310224961623,5.595040784101002e-05,1.022197944621439e-05,1.1223476121813292e-05,1.9203095689590555e-05,5.595040784101002e-05,0.0007111834856914356,0.49485339224338526,0.7789911407232284
internal,yolo11s,137,ap_candidates,0.001,750,0.5253333333333333,546,72.8,394,0.0010011728154495358,0.8757928013801575,0.20186882164343473,0.030554569326341152,0.0010829152667429299,0.0014158501580823213,0.004518226021900773,0.030554569326341152,0.36792612820863724,0.776552277803421,0.8325783741474152
internal,yolo11s,137,historical_threshold,0.05,750,0.236,625,83.33333333333334,177,0.050104886293411255,0.8757928013801575,0.4362329573786191,0.45860961079597473,0.053946132063865664,0.06395708099007606,0.1500631868839264,0.45860961079597473,0.6934233903884888,0.8202689170837403,0.8511731934547426
internal,yolo11s,137,posthoc_n5_threshold,0.01,750,0.332,592,78.93333333333334,249,0.010207286104559898,0.8757928013801575,0.3172237412278432,0.20008467137813568,0.011096760705113411,0.013711756281554698,0.03938675299286842,0.20008467137813568,0.6209896802902222,0.8028931856155395,0.8398788332939149
internal,yolo11s,271,all_retained_candidates,1e-05,750,21.448,0,0.0,16086,1.0000560905609746e-05,0.04127352312207222,0.00040909178102014633,3.5051956729148515e-05,1.0193664274993353e-05,1.0968556807711138e-05,1.6709036572137848e-05,3.5051956729148515e-05,0.00011631014604063239,0.001273434259928763,0.008094384521245935
internal,yolo11s,271,ap_candidates,0.001,750,1.2826666666666666,410,54.666666666666664,962,0.0010013512801378965,0.04127352312207222,0.005381591676631768,0.0024404856376349926,0.0010221731464844198,0.0010871010890696198,0.0014952728524804115,0.0024404856376349926,0.005358907044865191,0.02198002673685549,0.03560255352407694
internal,yolo11s,271,historical_threshold,0.05,750,0.0,750,100.0,0,,,,,,,,,,,
internal,yolo11s,271,posthoc_n5_threshold,0.01,750,0.17333333333333334,654,87.2,130,0.010204188525676727,0.04127352312207222,0.02118563073902176,0.01871310453861952,0.010267567001283168,0.010581216355785728,0.014270181069150567,0.01871310453861952,0.02902808878570795,0.03625356666743755,0.03925524622201919
internal,yolo11s,314,all_retained_candidates,1e-05,750,11.721333333333334,3,0.4,8791,1.0002124327002093e-05,0.47816890478134155,0.004787218545248736,3.755628131330013e-05,1.0204097543464741e-05,1.1058711152145406e-05,1.7410838154319208e-05,3.755628131330013e-05,0.00014787737745791674,0.005295158363878727,0.17094401121139777
internal,yolo11s,314,ap_candidates,0.001,750,1.2066666666666668,450,60.0,905,0.0010004305513575673,0.47816890478134155,0.04569468259276277,0.004931211471557617,0.001040207394398749,0.0011366182006895542,0.0019237037049606442,0.004931211471557617,0.03530970588326454,0.2707223057746887,0.4051446688175203
internal,yolo11s,314,historical_threshold,0.05,750,0.26,615,82.0,195,0.0502767339348793,0.47816890478134155,0.18435539576487664,0.1522679626941681,0.05109106220304966,0.056159204244613646,0.08045680075883865,0.1522679626941681,0.26715387403964996,0.4019298017024993,0.4473418587446213
internal,yolo11s,314,posthoc_n5_threshold,0.01,750,0.4653333333333333,560,74.66666666666667,349,0.010080812498927116,0.47816890478134155,0.11357939860818209,0.0621727854013443,0.010452070012688637,0.012078764289617539,0.02340753749012947,0.0621727854013443,0.17710711061954498,0.3622065246105193,0.44387713789939875
