dataset,detector,seed,images,target_boxes,positive_images,patient_groups,ap50,ap50_95,froc_0.125,froc_0.25,froc_0.5,froc_1,froc_2,primary_precision,primary_recall,primary_f1,primary_fp_per_image,images_at_collection_cap,floor_fp_per_image,floor_sensitivity,floor_limited_0.125,floor_limited_0.25,floor_limited_0.5,floor_limited_1,floor_limited_2,primary_threshold,primary_tp,primary_fp,primary_fn,primary_detections,primary_detections_per_image,primary_percent_images_with_detections,secondary_threshold,secondary_tp,secondary_fp,secondary_fn,secondary_precision,secondary_recall,secondary_f1,secondary_fp_per_image,secondary_detections,secondary_detections_per_image,secondary_percent_images_with_detections
internal,faster_rcnn,17,750,268,169,323,0.2955726614421415,0.09835622019400879,0.27611940298507465,0.3358208955223881,0.44776119402985076,0.585820895522388,0.6828358208955224,0.29545454545454547,0.3880597014925373,0.33548387096774196,0.33066666666666666,750,99.65333333333334,0.9701492537313433,False,False,False,False,False,0.69,104,248,164,352,0.4693333333333333,32.4,0.7,101,236,167,0.2997032640949555,0.376865671641791,0.3338842975206612,0.31466666666666665,337,0.4493333333333333,31.733333333333334
internal,faster_rcnn,42,750,268,169,323,0.30954831060054333,0.10538413110006557,0.291044776119403,0.373134328358209,0.5074626865671642,0.6082089552238806,0.7089552238805971,0.32926829268292684,0.40298507462686567,0.3624161073825503,0.29333333333333333,493,96.97466666666666,0.9701492537313433,False,False,False,False,False,0.69,108,220,160,328,0.43733333333333335,30.533333333333335,0.7,107,214,161,0.3333333333333333,0.39925373134328357,0.3633276740237691,0.2853333333333333,321,0.428,30.0
internal,faster_rcnn,137,750,268,169,323,0.3200806628353708,0.10322380247901727,0.2835820895522388,0.376865671641791,0.4962686567164179,0.6194029850746269,0.7164179104477612,0.43820224719101125,0.291044776119403,0.34977578475336324,0.13333333333333333,750,99.64933333333333,0.9813432835820896,False,False,False,False,False,0.69,78,100,190,178,0.23733333333333334,17.2,0.7,68,81,200,0.4563758389261745,0.2537313432835821,0.3261390887290168,0.108,149,0.19866666666666666,14.666666666666666
internal,faster_rcnn,271,750,268,169,323,0.32026447410162884,0.10209005760852219,0.27238805970149255,0.40298507462686567,0.5186567164179104,0.6156716417910447,0.7089552238805971,0.4051724137931034,0.35074626865671643,0.376,0.184,748,99.644,0.9664179104477612,False,False,False,False,False,0.69,94,138,174,232,0.30933333333333335,23.733333333333334,0.7,93,134,175,0.40969162995594716,0.34701492537313433,0.37575757575757573,0.17866666666666667,227,0.30266666666666664,23.333333333333332
internal,faster_rcnn,314,750,268,169,323,0.2756529265385327,0.08845364273590539,0.26492537313432835,0.34328358208955223,0.458955223880597,0.5708955223880597,0.6716417910447762,0.344,0.3208955223880597,0.33204633204633205,0.21866666666666668,81,82.264,0.9776119402985075,False,False,False,False,False,0.69,86,164,182,250,0.3333333333333333,24.0,0.7,85,162,183,0.3441295546558704,0.31716417910447764,0.3300970873786408,0.216,247,0.3293333333333333,23.6
internal,yolo11s,17,750,268,169,323,0.184171740556827,0.0606930966637053,0.19776119402985073,0.26492537313432835,0.3805970149253731,0.5223880597014925,0.6194029850746269,0.29411764705882354,0.26119402985074625,0.2766798418972332,0.224,0,8.449333333333334,0.8208955223880597,False,False,False,False,False,0.05,70,168,198,238,0.31733333333333336,18.666666666666668,0.01,100,351,168,0.22172949002217296,0.373134328358209,0.27816411682892905,0.468,451,0.6013333333333334,27.066666666666666
internal,yolo11s,42,750,268,169,323,0.16893425232205408,0.058322189861826176,0.1865671641791045,0.2947761194029851,0.39552238805970147,0.48880597014925375,0.6194029850746269,0.3181818181818182,0.26119402985074625,0.28688524590163933,0.2,0,7.034666666666666,0.832089552238806,False,False,False,False,False,0.05,70,150,198,220,0.29333333333333333,17.733333333333334,0.01,94,283,174,0.2493368700265252,0.35074626865671643,0.29147286821705426,0.37733333333333335,377,0.5026666666666667,24.133333333333333
internal,yolo11s,137,750,268,169,323,0.13969236100218996,0.04582610835802682,0.16044776119402984,0.2873134328358209,0.3880597014925373,0.503731343283582,0.5634328358208955,0.3163841807909605,0.208955223880597,0.251685393258427,0.16133333333333333,0,1.9906666666666666,0.5634328358208955,False,False,False,False,True,0.05,56,121,212,177,0.236,16.666666666666668,0.01,73,176,195,0.2931726907630522,0.27238805970149255,0.28239845261121854,0.23466666666666666,249,0.332,21.066666666666666
internal,yolo11s,271,750,268,169,323,0.15872173755300575,0.05557988828743392,0.16044776119402984,0.21641791044776118,0.373134328358209,0.5335820895522388,0.6455223880597015,0.0,0.0,0.0,0.0,0,21.129333333333335,0.8917910447761194,False,False,False,False,False,0.05,0,0,268,0,0.0,0.0,0.01,40,90,228,0.3076923076923077,0.14925373134328357,0.20100502512562815,0.12,130,0.17333333333333334,12.8
internal,yolo11s,314,750,268,169,323,0.16153960949518734,0.050420483981894734,0.19402985074626866,0.26865671641791045,0.373134328358209,0.48880597014925375,0.5970149253731343,0.3333333333333333,0.24253731343283583,0.28077753779697623,0.17333333333333334,0,11.428,0.8208955223880597,False,False,False,False,False,0.05,65,130,203,195,0.26,18.0,0.01,85,264,183,0.24355300859598855,0.31716417910447764,0.2755267423014587,0.352,349,0.4653333333333333,25.333333333333332
