epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.953,1.58274,4.82425,1.61948,0,0,0,0,1.86408,4.1915,1.90701,0.000998857,0.000998857,0.000998857
2,209.471,1.56628,3.21764,1.53094,0.17734,0.25993,0.05627,0.0155,1.85197,3.35425,1.80953,0.001,0.001,0.001
3,291.632,1.42034,2.87288,1.41042,0.12931,0.05415,0.01055,0.00204,1.91704,3.79239,1.84486,0.001,0.001,0.001
4,376.819,1.3935,2.72173,1.39085,0.20383,0.42238,0.1812,0.04792,1.74373,3.20861,1.63608,0.001,0.001,0.001
5,459.797,1.36954,2.46983,1.31966,0.18017,0.3935,0.15499,0.04781,1.74834,3.09946,1.65109,0.001,0.001,0.001
6,544.158,1.32418,2.35431,1.29096,0.19939,0.47292,0.19444,0.06079,1.74384,2.98558,1.63288,0.001,0.001,0.001
7,628.716,1.25275,2.20965,1.24632,0.15671,0.57762,0.23217,0.08958,1.65575,2.75734,1.65457,0.001,0.001,0.001
8,712.947,1.20947,2.01282,1.19671,0.29243,0.23827,0.17535,0.05418,1.77731,2.67202,1.69952,0.001,0.001,0.001
9,796.485,1.14917,1.79914,1.15027,0.44565,0.25993,0.24559,0.07208,1.80647,2.66422,1.69012,0.001,0.001,0.001
10,882.206,1.1352,1.50005,1.14234,0.3122,0.24188,0.18498,0.06494,1.8112,2.99665,1.7533,0.001,0.001,0.001
11,966.249,1.0366,1.37566,1.06209,0.36691,0.21661,0.1751,0.05393,1.93278,3.00191,1.81296,0.001,0.001,0.001
12,1049.73,0.96834,1.09339,0.99961,0.35512,0.28881,0.20162,0.06404,1.90806,3.14318,1.83584,0.001,0.001,0.001
