epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.47,1.60615,5.35298,1.60574,0,0,0,0,2.16326,4.75211,2.05376,0.000998857,0.000998857,0.000998857
2,276.85,1.55431,3.28297,1.4656,0.22105,0.07581,0.03783,0.00765,1.96673,3.69289,1.79368,0.001,0.001,0.001
3,411.826,1.4689,2.78228,1.35953,0.10543,0.11913,0.02432,0.00589,2.05351,3.79621,1.79375,0.001,0.001,0.001
4,550.334,1.43721,2.63825,1.34927,0.17073,0.40433,0.11965,0.0266,1.81062,3.24943,1.61166,0.001,0.001,0.001
5,687.615,1.35906,2.47069,1.27641,0.27473,0.36101,0.18299,0.05753,1.77315,3.11108,1.60815,0.001,0.001,0.001
6,822.363,1.32824,2.32968,1.25374,0.22491,0.46931,0.18063,0.05349,1.82325,2.96179,1.62172,0.001,0.001,0.001
7,959.951,1.25263,2.20005,1.20063,0.17904,0.44404,0.14989,0.04223,1.87852,3.07157,1.65624,0.001,0.001,0.001
8,1093.35,1.19332,1.98621,1.14028,0.30715,0.32852,0.22499,0.06228,1.84676,2.61989,1.68181,0.001,0.001,0.001
9,1229.53,1.12026,1.76007,1.08766,0.38513,0.25993,0.24819,0.06988,1.81593,2.54691,1.67318,0.001,0.001,0.001
10,1357.14,1.09802,1.49441,1.07533,0.42741,0.28881,0.23617,0.07335,1.81432,2.83635,1.71195,0.001,0.001,0.001
11,1480.38,1.00277,1.24236,1.00316,0.41896,0.29603,0.22497,0.07012,1.86447,2.9676,1.7581,0.001,0.001,0.001
12,1604.63,0.95927,1.00823,0.96272,0.39256,0.29964,0.20822,0.07172,1.8795,3.20338,1.78222,0.001,0.001,0.001
13,1728.25,0.87841,0.86349,0.90802,0.41874,0.27048,0.22032,0.06615,1.93934,3.27209,1.85351,0.001,0.001,0.001
14,1851.79,0.82377,0.70378,0.86936,0.41283,0.26354,0.18143,0.06271,1.93704,3.6171,1.84756,0.001,0.001,0.001
15,1975.27,0.77825,0.61835,0.84331,0.40466,0.25271,0.16869,0.05756,1.93397,3.89927,1.89276,0.001,0.001,0.001
