epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.985,1.57013,7.29032,1.64465,0,0,0,0,1.94025,4.18638,2.00451,0.000998857,0.000998857,0.000998857
2,292.446,1.52117,3.1982,1.52959,0.20213,0.20578,0.05507,0.01521,1.82493,3.50644,1.75756,0.001,0.001,0.001
3,430.182,1.43859,2.80953,1.44263,0.13307,0.24549,0.06415,0.01461,1.90707,3.35591,1.82509,0.001,0.001,0.001
4,547.515,1.4037,2.65004,1.3928,0.34545,0.13718,0.07238,0.0211,1.74778,3.74763,1.67271,0.001,0.001,0.001
5,632.657,1.34486,2.49121,1.32041,0.21412,0.33935,0.13727,0.03218,1.81571,3.22509,1.71898,0.001,0.001,0.001
6,713.274,1.30503,2.33963,1.29011,0.15953,0.53791,0.21111,0.06091,1.78531,2.84058,1.66368,0.001,0.001,0.001
7,794.497,1.25218,2.13486,1.23149,0.11104,0.59567,0.19009,0.05246,1.77953,2.71898,1.7133,0.001,0.001,0.001
8,876.68,1.19777,1.93895,1.18313,0.34666,0.25993,0.19122,0.06331,1.88646,2.77039,1.73168,0.001,0.001,0.001
9,958.829,1.10589,1.67854,1.12742,0.26402,0.28881,0.16312,0.05289,1.8389,2.73201,1.76728,0.001,0.001,0.001
10,1044.01,1.08637,1.44783,1.10334,0.40756,0.24549,0.22176,0.06475,1.82511,2.81013,1.7478,0.001,0.001,0.001
11,1130.63,0.99408,1.21633,1.03547,0.36254,0.24549,0.19265,0.06505,1.86454,2.97172,1.80149,0.001,0.001,0.001
12,1218.07,0.9395,0.97278,0.97574,0.39201,0.27437,0.19886,0.0647,1.89848,3.18116,1.8661,0.001,0.001,0.001
13,1304.61,0.85423,0.80064,0.92468,0.2233,0.41516,0.18535,0.05748,1.93692,3.49191,1.90242,0.001,0.001,0.001
14,1389.51,0.79971,0.68725,0.87503,0.43194,0.29242,0.19127,0.06631,1.93483,3.69775,1.92642,0.001,0.001,0.001
15,1475.6,0.76969,0.60773,0.86289,0.29938,0.36823,0.17213,0.0616,1.94802,3.87704,1.94431,0.001,0.001,0.001
16,1562.21,0.68972,0.53563,0.80604,0.28615,0.33574,0.1546,0.05172,1.92227,4.0518,1.97931,0.001,0.001,0.001
17,1651.39,0.65376,0.50891,0.78212,0.31419,0.33574,0.16385,0.0578,1.91033,4.24227,1.99664,0.001,0.001,0.001
18,1794.82,0.61176,0.41724,0.74571,0.34717,0.33213,0.17363,0.06096,1.88801,4.30288,1.9645,0.001,0.001,0.001
19,1937.14,0.58747,0.43619,0.74074,0.33597,0.30686,0.15743,0.06102,1.89932,4.3255,1.95418,0.001,0.001,0.001
