epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.597,1.59681,5.92912,1.58733,0,0,0,0,2.005,4.01912,1.97438,0.000998857,0.000998857,0.000998857
2,210.589,1.49207,3.22798,1.44391,0.11765,0.00722,0.00059,0.00018,2.10487,4.27903,1.86343,0.001,0.001,0.001
3,310.339,1.4428,2.86374,1.38875,0.11179,0.19856,0.02523,0.00524,1.78468,3.53774,1.60983,0.001,0.001,0.001
4,408.701,1.40015,2.63817,1.34352,0.21127,0.48736,0.16537,0.04697,1.72634,3.01907,1.61822,0.001,0.001,0.001
5,506.956,1.34027,2.48647,1.26419,0.20658,0.40794,0.15619,0.04005,1.73505,3.02336,1.61057,0.001,0.001,0.001
6,606.878,1.30364,2.31362,1.24834,0.20795,0.49097,0.14717,0.0395,1.78346,3.09732,1.61062,0.001,0.001,0.001
7,705.655,1.2336,2.20057,1.19467,0.13938,0.53791,0.1901,0.0541,1.8057,2.74206,1.67915,0.001,0.001,0.001
8,831.98,1.17123,1.93349,1.13883,0.43138,0.27798,0.20988,0.05967,1.76148,2.71039,1.65806,0.001,0.001,0.001
9,964.567,1.11019,1.71062,1.0891,0.40817,0.2465,0.22016,0.07433,1.76,2.89246,1.64113,0.001,0.001,0.001
10,1065.34,1.08958,1.43947,1.07229,0.40706,0.28254,0.21891,0.07449,1.76639,2.98856,1.67142,0.001,0.001,0.001
11,1171.36,0.99268,1.18434,1.00078,0.4325,0.24487,0.17857,0.05588,1.83268,3.13276,1.76463,0.001,0.001,0.001
12,1306.55,0.93573,1.00664,0.9545,0.24541,0.38628,0.16827,0.05961,1.83527,3.43934,1.76776,0.001,0.001,0.001
13,1446.4,0.87118,0.85178,0.90913,0.27479,0.35018,0.154,0.05451,1.86686,3.72897,1.80439,0.001,0.001,0.001
14,1585.88,0.80022,0.68807,0.86457,0.28125,0.29242,0.13966,0.05239,1.86158,3.90421,1.81225,0.001,0.001,0.001
