run_id,seed,epoch,optimizer_steps,learning_rate,train_loss_total,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_precision,val_recall,val_f1,val_map_50,val_map_50_95,val_true_positives,val_false_positives,val_false_negatives,train_seconds,validation_seconds,epoch_seconds,peak_gpu_memory_mib,is_best,epochs_without_improvement
faster_rcnn_rsna_seed42_full,42,1,875,0.005,0.10027678594418934,0.047722582769380614,0.040763246850892235,0.010244992617451187,0.001545963480615423,0.12414733969986358,0.6570397111913358,0.20883534136546186,0.2617048490042774,0.08349820441976136,182,1284,95,461.91374390000055,39.98132049999913,504.5906862000011,1556.86474609375,true,0
faster_rcnn_rsna_seed42_full,42,2,1750,0.005,0.08628514078365905,0.039636220156747316,0.0395739074769829,0.005839086856352099,0.0012359264537766907,0.2896678966789668,0.5667870036101083,0.38339438339438336,0.34152180881074345,0.11688428237016772,157,385,120,578.3176869999988,67.64437360000011,647.7200205000008,1557.080078125,true,0
faster_rcnn_rsna_seed42_full,42,3,2625,0.005,0.08105559626022088,0.036477410048778566,0.03865082095510193,0.004762643057453845,0.001164722322407345,0.1457725947521866,0.7220216606498195,0.24257125530624624,0.3230544471878494,0.11160990643722944,200,1172,77,402.9500589999989,37.38665879999826,442.7658574999987,1556.5986328125,false,1
faster_rcnn_rsna_seed42_full,42,4,3500,0.005,0.07737616245169193,0.034560107590364555,0.03763554353187127,0.004067668421975603,0.0011128428914234973,0.13186813186813187,0.7364620938628159,0.2236842105263158,0.2831464349545729,0.10849964804479445,204,1343,73,473.15406310000253,60.81539720000001,536.4587998999996,1556.60498046875,false,2
faster_rcnn_rsna_seed42_full,42,5,4375,0.005,0.07514379611458363,0.03339146881823295,0.03687601590076728,0.0038090395274588706,0.0010672717255448723,0.14357864357864358,0.7184115523465704,0.23932651834034877,0.3167447756436877,0.11970308891949899,199,1187,78,556.8725092999994,59.217422700003226,617.9025696999997,1556.603515625,true,0
faster_rcnn_rsna_seed42_full,42,6,5250,0.005,0.07179010150880952,0.03191082611354068,0.03559999740496278,0.003239278671797365,0.00103999939195845,0.13636363636363635,0.7256317689530686,0.22958309537407195,0.3503719303974819,0.11625878306841142,201,1273,76,559.1382789000018,59.201350499999535,619.9039382999981,1556.6044921875,false,1
faster_rcnn_rsna_seed42_full,42,7,6125,0.005,0.0685283391041282,0.029969799204596453,0.03464877607726625,0.002904450019908836,0.0010053139363964355,0.137524557956778,0.7581227436823105,0.23281596452328163,0.34729911049359846,0.11504957181826103,210,1317,67,557.2818578000006,59.56673779999983,618.2818290000032,1556.60498046875,false,2
faster_rcnn_rsna_seed42_full,42,8,7000,0.005,0.06618319680954196,0.028978414653268243,0.03336191756225058,0.0028588254251101586,0.0009840389738300084,0.16352739726027396,0.6895306859205776,0.2643598615916955,0.3146274475263689,0.11111586401281272,191,977,86,561.7986528000001,60.822341699997196,624.2088112999991,1556.6044921875,false,3
faster_rcnn_rsna_seed42_full,42,9,7875,0.0005,0.05174000997854663,0.021338673227799258,0.027825044374912976,0.0017190664210460715,0.0008572258960921317,0.22082810539523212,0.6353790613718412,0.32774674115456237,0.3489884948968828,0.13784965787934983,176,621,101,561.8059465000042,59.900792600004934,623.3521107999986,1556.6025390625,true,0
faster_rcnn_rsna_seed42_full,42,10,8750,0.0005,0.04696784668435742,0.018960001674680305,0.025803364307752676,0.001382534173861911,0.0008219466896553058,0.22236503856041132,0.6245487364620939,0.32796208530805687,0.33831316557001173,0.13244582030577493,173,605,104,556.245517000003,60.82596850000118,618.5693466000012,1556.60302734375,false,1
faster_rcnn_rsna_seed42_full,42,11,9625,0.0005,0.0439897929037522,0.017353788553737103,0.024569611880396094,0.0012651564444303013,0.0008012359074886522,0.2637729549248748,0.5703971119133574,0.3607305936073059,0.32861415053102133,0.12909071037132117,158,441,119,556.9072900000028,60.34591080000246,618.7733423999962,1556.60400390625,false,2
faster_rcnn_rsna_seed42_full,42,12,10500,0.0005,0.041268471742780616,0.016003203015707967,0.023339660107025078,0.0011436442814738257,0.0007819643908421442,0.2810810810810811,0.5631768953068592,0.37500000000000006,0.3327520287423535,0.12119870745721605,156,399,121,555.1024290999994,58.86710370000219,615.458964999998,1556.60400390625,false,3
faster_rcnn_rsna_seed42_full,42,13,11375,5e-05,0.03790851897799543,0.01426781599642709,0.021873205041246756,0.0010124337716884578,0.000755064187777212,0.28516377649325625,0.5342960288808665,0.37185929648241206,0.3268858319160878,0.1259462751560503,148,371,129,565.3033026999983,60.743708500005596,627.5538068000023,1556.60498046875,false,4
faster_rcnn_rsna_seed42_full,42,14,12250,5e-05,0.037209866006592554,0.013916378356915499,0.02153369226945298,0.001008240518299447,0.0007515546899604877,0.2897727272727273,0.5523465703971119,0.3801242236024845,0.3329470305559975,0.12794940724529755,153,375,124,524.4366578000045,35.9693638999961,562.2772302999947,1556.6044921875,false,5
