sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
confidence_floor,faster_rcnn,42,5,5|5|5|5|5,8,0.001,True,0.03128836082269246,True,,7682,7682,0,1.0,3125,298,95,7170,0.9333506899244989,22.0,8,605
confidence_floor,faster_rcnn,42,5,5|5|5|5|5,8,0.005,False,0.06557247978735765,True,,3563,7682,4119,0.4638115074199427,3125,259,73,3093,0.868088689306764,20.0,8,254
confidence_floor,faster_rcnn,42,5,5|5|5|5|5,8,0.01,False,0.08767475690956314,True,,2614,7682,5068,0.3402759697995314,3125,246,67,2163,0.8274674827850038,19.0,8,164
confidence_floor,faster_rcnn,42,5,5|5|5|5|5,8,0.05,False,0.1518115722035107,True,,1425,7682,6257,0.18549856808122886,3125,229,52,988,0.6933333333333334,15.0,8,54
binning_minimum_support,faster_rcnn,137,3,3|3|3|3|3,1,0.001,False,0.029880277418519948,True,,25030,25030,0,1.0,243,74,74,25030,1.0,54.5,1,5411
binning_minimum_support,faster_rcnn,137,3,3|3|3|3|3,4,0.001,False,0.029456349932104005,True,,25030,25030,0,1.0,243,74,58,25003,0.998921294446664,97.0,4,5411
binning_minimum_support,faster_rcnn,137,3,3|3|3|3|3,8,0.001,False,0.029278574070997977,True,,25030,25030,0,1.0,243,74,53,24981,0.9980423491809828,103.0,9,5411
binning_minimum_support,faster_rcnn,137,3,3|3|3|3|3,16,0.001,False,0.028520057807258654,True,,25030,25030,0,1.0,243,74,45,24879,0.9939672393128246,128.0,18,5411
binning_minimum_support,faster_rcnn,137,5,5|5|5|5|5,1,0.001,False,0.030604616289231286,True,,25030,25030,0,1.0,3125,318,318,25030,1.0,8.0,1,2292
binning_minimum_support,faster_rcnn,137,5,5|5|5|5|5,4,0.001,False,0.02869930357776085,True,,25030,25030,0,1.0,3125,318,207,24850,0.9928086296444267,20.0,4,2292
binning_minimum_support,faster_rcnn,137,5,5|5|5|5|5,8,0.001,True,0.02662713231137108,True,,25030,25030,0,1.0,3125,318,164,24614,0.9833799440671195,34.0,8,2292
binning_minimum_support,faster_rcnn,137,5,5|5|5|5|5,16,0.001,False,0.02407205607017906,True,,25030,25030,0,1.0,3125,318,123,24170,0.9656412305233719,47.0,16,2292
binning_minimum_support,faster_rcnn,137,7,7|7|7|7|7,1,0.001,False,0.031319998585069446,True,,25030,25030,0,1.0,16807,773,773,25030,1.0,5.0,1,765
binning_minimum_support,faster_rcnn,137,7,7|7|7|7|7,4,0.001,False,0.02652186188169915,True,,25030,25030,0,1.0,16807,773,430,24462,0.9773072313224132,16.0,4,765
binning_minimum_support,faster_rcnn,137,7,7|7|7|7|7,8,0.001,False,0.022689221259393506,True,,25030,25030,0,1.0,16807,773,322,23920,0.9556532161406313,25.0,8,765
binning_minimum_support,faster_rcnn,137,7,7|7|7|7|7,16,0.001,False,0.01646967984542854,True,,25030,25030,0,1.0,16807,773,219,22847,0.9127846584099081,46.0,16,765
confidence_floor,faster_rcnn,137,5,5|5|5|5|5,8,0.001,True,0.02662713231137108,True,,25030,25030,0,1.0,3125,318,164,24614,0.9833799440671195,34.0,8,2292
confidence_floor,faster_rcnn,137,5,5|5|5|5|5,8,0.005,False,0.06033018358163031,True,,10648,25030,14382,0.42540950858969234,3125,282,121,10196,0.9575507137490609,28.0,8,851
confidence_floor,faster_rcnn,137,5,5|5|5|5|5,8,0.01,False,0.0843162325139655,True,,7402,25030,17628,0.295725129844187,3125,272,108,6964,0.9408268035666036,28.5,8,575
confidence_floor,faster_rcnn,137,5,5|5|5|5|5,8,0.05,False,0.16676801813349845,True,,3269,25030,21761,0.13060327606871755,3125,235,85,2891,0.8843683083511777,23.0,8,195
binning_minimum_support,faster_rcnn,271,3,3|3|3|3|3,1,0.001,False,0.03534965311295399,True,,6588,6588,0,1.0,243,66,66,6588,1.0,13.5,1,1290
binning_minimum_support,faster_rcnn,271,3,3|3|3|3|3,4,0.001,False,0.033515294342877575,True,,6588,6588,0,1.0,243,66,45,6554,0.9948391013964785,28.0,4,1290
binning_minimum_support,faster_rcnn,271,3,3|3|3|3|3,8,0.001,False,0.03282480877984579,True,,6588,6588,0,1.0,243,66,40,6531,0.9913479052823315,35.0,8,1290
binning_minimum_support,faster_rcnn,271,3,3|3|3|3|3,16,0.001,False,0.031420023772587326,True,,6588,6588,0,1.0,243,66,31,6432,0.97632058287796,44.0,16,1290
binning_minimum_support,faster_rcnn,271,5,5|5|5|5|5,1,0.001,False,0.044802795832031804,True,,6588,6588,0,1.0,3125,263,263,6588,1.0,3.0,1,629
binning_minimum_support,faster_rcnn,271,5,5|5|5|5|5,4,0.001,False,0.03497961764086394,True,,6588,6588,0,1.0,3125,263,130,6383,0.968882817243473,12.0,4,629
binning_minimum_support,faster_rcnn,271,5,5|5|5|5|5,8,0.001,True,0.026953962174521024,True,,6588,6588,0,1.0,3125,263,84,6149,0.9333636915604129,21.5,8,629
binning_minimum_support,faster_rcnn,271,5,5|5|5|5|5,16,0.001,False,0.019010515348528045,True,,6588,6588,0,1.0,3125,263,52,5785,0.8781117182756527,65.0,16,629
binning_minimum_support,faster_rcnn,271,7,7|7|7|7|7,1,0.001,False,0.051733553588617094,True,,6588,6588,0,1.0,16807,571,571,6588,1.0,2.0,1,263
binning_minimum_support,faster_rcnn,271,7,7|7|7|7|7,4,0.001,False,0.030421258066692512,True,,6588,6588,0,1.0,16807,571,216,6052,0.9186399514268366,10.0,4,263
binning_minimum_support,faster_rcnn,271,7,7|7|7|7|7,8,0.001,False,0.017101481615135396,True,,6588,6588,0,1.0,16807,571,125,5591,0.8486642380085003,26.0,8,263
binning_minimum_support,faster_rcnn,271,7,7|7|7|7|7,16,0.001,False,0.010395938439135518,True,,6588,6588,0,1.0,16807,571,82,5109,0.7755009107468124,44.0,16,263
confidence_floor,faster_rcnn,271,5,5|5|5|5|5,8,0.001,True,0.026953962174521024,True,,6588,6588,0,1.0,3125,263,84,6149,0.9333636915604129,21.5,8,629
confidence_floor,faster_rcnn,271,5,5|5|5|5|5,8,0.005,False,0.05627604987801484,True,,2931,6588,3657,0.44489981785063754,3125,235,63,2507,0.855339474582054,20.0,8,252
confidence_floor,faster_rcnn,271,5,5|5|5|5|5,8,0.01,False,0.07522957935903428,True,,2160,6588,4428,0.32786885245901637,3125,223,60,1777,0.8226851851851852,16.0,8,171
confidence_floor,faster_rcnn,271,5,5|5|5|5|5,8,0.05,False,0.12273792493333285,True,,1184,6588,5404,0.17972070431086826,3125,205,44,796,0.6722972972972973,16.0,8,54
binning_minimum_support,faster_rcnn,314,3,3|3|3|3|3,1,0.001,False,0.06065522961151577,True,,3663,3663,0,1.0,243,69,69,3663,1.0,10.0,1,658
binning_minimum_support,faster_rcnn,314,3,3|3|3|3|3,4,0.001,False,0.05772271368498378,True,,3663,3663,0,1.0,243,69,46,3626,0.98989898989899,23.5,4,658
