scope,condition_id,family,corruption,severity,estimand,metric,unit,detector_a,detector_b,image_count,patient_group_count,seed_count,attempted_seed_count,paired_seed_ids,excluded_pair_seed_ids,seed_eligibility_policy,seed_eligibility_note,confidence_level,detector_a_estimate,detector_a_ci_low,detector_a_ci_high,detector_b_estimate,detector_b_ci_low,detector_b_ci_high,difference_a_minus_b,difference_ci_low,difference_ci_high,bootstrap_resamples,bootstrap_valid_a,bootstrap_valid_b,bootstrap_valid_difference,test_name,permutation_resamples,permutation_valid,p_value_raw,p_value_holm,holm_family_size,effect_size_name,effect_size,effect_size_n,status,reason
phase5_clean_multi_seed,clean,clean,clean,0,raw,precision,ratio,faster_rcnn,yolo11s,750,323,5,5,17;42;137;271;314,,all_predeclared_attempts,"All predeclared attempted seeds are retained, including operational failures.",0.95,0.19589066943662742,0.13936425846588135,0.25054733803749835,0.298316891974181,0.13721184405025869,0.4419970875339195,-0.10242622253755357,-0.25288942420219984,0.08016452394634696,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0003999200159968006,0.001999600079984003,7,paired_raw_difference,-0.10242622253755357,323,complete,
phase5_clean_multi_seed,clean,clean,clean,0,raw,recall,ratio,faster_rcnn,yolo11s,750,323,5,5,17;42;137;271;314,,all_predeclared_attempts,"All predeclared attempted seeds are retained, including operational failures.",0.95,0.5798507462686567,0.47466982579072287,0.6670312873178883,0.0955223880597015,0.034709056603773596,0.16246495966087787,0.48432835820895526,0.4065315187806206,0.5554719251336897,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.0013997200559888023,7,paired_raw_difference,0.48432835820895526,323,complete,
phase5_clean_multi_seed,clean,clean,clean,0,raw,f1,ratio,faster_rcnn,yolo11s,750,323,5,5,17;42;137;271;314,,all_predeclared_attempts,"All predeclared attempted seeds are retained, including operational failures.",0.95,0.2845263147467961,0.2205448744102095,0.34133214522158656,0.14266144111134127,0.054929750292644845,0.23169754986039348,0.14186487363545486,0.03375539485609585,0.2526495235950018,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.0013997200559888023,7,paired_raw_difference,0.14186487363545486,323,complete,
phase5_clean_multi_seed,clean,clean,clean,0,raw,iou,ratio,faster_rcnn,yolo11s,750,323,4,5,17;42;137;314,271,paired_complete_case_conditional_metric,"yolo11s seed 271: no_detections_at_frozen_score_threshold (TP=0, predictions=0)",0.95,0.6746060139732795,0.6549669387049759,0.6918877594199503,0.698528133351987,0.6655079974035368,0.7316505233980899,-0.023922119378707585,-0.056703066545698275,0.007439533150603209,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.05618876224755049,0.10637872425514897,7,paired_raw_difference,-0.023922119378707585,323,complete,
phase5_clean_multi_seed,clean,clean,clean,0,raw,dice,ratio,faster_rcnn,yolo11s,750,323,4,5,17;42;137;314,271,paired_complete_case_conditional_metric,"yolo11s seed 271: no_detections_at_frozen_score_threshold (TP=0, predictions=0)",0.95,0.8007261769779829,0.7864094671220512,0.8130920964006373,0.8180641430069512,0.7944006676001863,0.8408661096216115,-0.01733796602896831,-0.040995538850015396,0.005001327922107353,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.05318936212757448,0.10637872425514897,7,paired_raw_difference,-0.01733796602896831,323,complete,
phase5_clean_multi_seed,clean,clean,clean,0,raw,map_50,ratio,faster_rcnn,yolo11s,750,323,5,5,17;42;137;271;314,,all_predeclared_attempts,"All predeclared attempted seeds are retained, including operational failures.",0.95,0.3042238071036434,0.2378144011120808,0.37252555134092635,0.16261194018585284,0.10293654450419475,0.22389433779894313,0.14161186691779054,0.09974833532115757,0.185625428278296,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.005198960207958408,0.020795840831833633,7,paired_raw_difference,0.14161186691779054,323,complete,
phase5_clean_multi_seed,clean,clean,clean,0,raw,map_50_95,ratio,faster_rcnn,yolo11s,750,323,5,5,17;42;137;271;314,,all_predeclared_attempts,"All predeclared attempted seeds are retained, including operational failures.",0.95,0.09950157082350383,0.0722148263924215,0.1292201878432598,0.054168353430577396,0.03257572062201505,0.08155120596751658,0.045333217392926436,0.032469920011921,0.05950624907269602,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.011397720455908818,0.03419316136772645,7,paired_raw_difference,0.045333217392926436,323,complete,
