detector,curve,iou_definition,recall,seed_count,precision,precision_std,average_precision,average_precision_std
faster_rcnn,ap50,IoU=0.50,0.0,3,1.0,1.5700924586837752e-16,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.01,3,0.9333333333333332,0.11547005383792514,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.02,3,0.8592592592592592,0.05132002392796668,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.03,3,0.8023809523809523,0.05361109642475093,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.04,3,0.7857142857142857,0.07953949089757174,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.05,3,0.744110275689223,0.04475000332930018,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.06,3,0.7273291925465838,0.02374101224051728,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.07,3,0.7155202821869487,0.023746732801743654,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.08,3,0.705952380952381,0.03431794120333232,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.09,3,0.705952380952381,0.03431794120333232,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.1,3,0.7015765765765766,0.027398905531949107,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.11,3,0.6743084182416842,0.02277523736069954,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.12,3,0.6608669108669109,0.01592283437819898,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.13,3,0.6608669108669109,0.01592283437819898,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.14,3,0.6426166698071729,0.011281305200461958,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.15,3,0.6200060304537917,0.007535428454157666,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.16,3,0.5969457262140189,0.014579457596232954,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.17,3,0.5943353531445944,0.01573004576773466,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.18,3,0.5858850857416137,0.02082605068969884,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.19,3,0.5709739464941423,0.033906814706877904,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.2,3,0.5552041605172535,0.025618505816095937,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.21,3,0.5344257941560114,0.02628346519084818,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.22,3,0.526808485632015,0.02090969487385412,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.23,3,0.5078409513192121,0.02018432543156968,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.24,3,0.5028658269411027,0.02446817739489056,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.25,3,0.5000109736905768,0.02784808902550141,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.26,3,0.4850313411811742,0.019411839499912528,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.27,3,0.4775098469365986,0.013730473967039813,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.28,3,0.4603058038881794,0.02058246839249384,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.29,3,0.44220252865414156,0.021309946902265703,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.3,3,0.40717926283955186,0.011116740971866435,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.31,3,0.38876772586627517,0.03552086781767044,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.32,3,0.37849719380880414,0.03259325527949494,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.33,3,0.3742185190762212,0.028854127807102073,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.34,3,0.3635396098330042,0.03528422826833741,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.35000000000000003,3,0.35266934735539746,0.03884987962172747,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.36,3,0.3484278178041595,0.03989883211966271,0.3084005449593519,0.01229424896233832
faster_rcnn,ap50,IoU=0.50,0.37,3,0.33979615455885526,0.03279542507935603,0.3084005449593519,0.01229424896233832
