detector,seed,fp_per_image_budget,sensitivity,achieved_fp_per_image,selected_threshold,selected_threshold_kind,selected_at_candidate_floor_boundary,candidate_score_floor,candidate_floor_endpoint_sensitivity,candidate_floor_endpoint_fp_per_image,candidate_floor_limited
faster_rcnn,17,0.125,0.27611940298507465,0.124,0.7877680063247681,emitted_score,False,0.001,0.9514925373134329,24.006666666666668,False
faster_rcnn,17,0.25,0.3358208955223881,0.24133333333333334,0.7392812371253967,emitted_score,False,0.001,0.9514925373134329,24.006666666666668,False
faster_rcnn,17,0.5,0.44776119402985076,0.4866666666666667,0.6083322763442993,emitted_score,False,0.001,0.9514925373134329,24.006666666666668,False
faster_rcnn,17,1.0,0.585820895522388,0.9706666666666667,0.4047427177429199,emitted_score,False,0.001,0.9514925373134329,24.006666666666668,False
faster_rcnn,17,2.0,0.6828358208955224,1.9786666666666666,0.16940587759017944,emitted_score,False,0.001,0.9514925373134329,24.006666666666668,False
faster_rcnn,42,0.125,0.291044776119403,0.12133333333333333,0.8255897164344788,emitted_score,False,0.001,0.9104477611940298,9.917333333333334,False
faster_rcnn,42,0.25,0.373134328358209,0.244,0.7321611642837524,emitted_score,False,0.001,0.9104477611940298,9.917333333333334,False
faster_rcnn,42,0.5,0.5074626865671642,0.4786666666666667,0.47591739892959595,emitted_score,False,0.001,0.9104477611940298,9.917333333333334,False
faster_rcnn,42,1.0,0.6082089552238806,0.936,0.16687896847724915,emitted_score,False,0.001,0.9104477611940298,9.917333333333334,False
faster_rcnn,42,2.0,0.7089552238805971,1.9853333333333334,0.032466817647218704,emitted_score,False,0.001,0.9104477611940298,9.917333333333334,False
faster_rcnn,137,0.125,0.2835820895522388,0.116,0.6968874335289001,emitted_score,False,0.001,0.9664179104477612,33.028,False
faster_rcnn,137,0.25,0.376865671641791,0.23866666666666667,0.642684817314148,emitted_score,False,0.001,0.9664179104477612,33.028,False
faster_rcnn,137,0.5,0.4962686567164179,0.4866666666666667,0.5467002987861633,emitted_score,False,0.001,0.9664179104477612,33.028,False
faster_rcnn,137,1.0,0.6194029850746269,0.9866666666666667,0.3663630187511444,emitted_score,False,0.001,0.9664179104477612,33.028,False
faster_rcnn,137,2.0,0.7164179104477612,1.896,0.17974644899368286,emitted_score,False,0.001,0.9664179104477612,33.028,False
faster_rcnn,271,0.125,0.27238805970149255,0.116,0.8054792284965515,emitted_score,False,0.001,0.8955223880597015,8.464,False
faster_rcnn,271,0.25,0.40298507462686567,0.24933333333333332,0.6087976098060608,emitted_score,False,0.001,0.8955223880597015,8.464,False
faster_rcnn,271,0.5,0.5186567164179104,0.4666666666666667,0.344112753868103,emitted_score,False,0.001,0.8955223880597015,8.464,False
faster_rcnn,271,1.0,0.6156716417910447,0.9986666666666667,0.08985311537981033,emitted_score,False,0.001,0.8955223880597015,8.464,False
faster_rcnn,271,2.0,0.7089552238805971,1.8106666666666666,0.02444636821746826,emitted_score,False,0.001,0.8955223880597015,8.464,False
faster_rcnn,314,0.125,0.26492537313432835,0.11733333333333333,0.8272706270217896,emitted_score,False,0.001,0.7761194029850746,4.6066666666666665,False
