fp_per_image_budget,historical_faster_sensitivity,historical_yolo_sensitivity,historical_faster_minus_yolo_gap,exact_faster_sensitivity,exact_yolo_sensitivity,exact_faster_minus_yolo_gap,gap_change_exact_minus_historical,gap_change_classification,direction_status,faster_candidate_floor_limited_run_count,faster_candidate_floor_limited_seeds,yolo_candidate_floor_limited_run_count,yolo_candidate_floor_limited_seeds
0.125,0.26716417910447765,0.17611940298507464,0.09104477611940301,0.27761194029850744,0.1798507462686567,0.09776119402985073,0.0067164179104477195,strengthened,unchanged_faster_higher,0,,0,
0.25,0.3641791044776119,0.2455223880597015,0.11865671641791042,0.36641791044776123,0.2664179104477612,0.10000000000000003,-0.01865671641791039,weakened,unchanged_faster_higher,0,,0,
0.5,0.48358208955223886,0.29253731343283584,0.19104477611940301,0.48582089552238805,0.376865671641791,0.10895522388059703,-0.08208955223880599,weakened,unchanged_faster_higher,0,,1,137
1.0,0.5970149253731343,0.29253731343283584,0.30447761194029843,0.5999999999999999,0.47388059701492546,0.1261194029850744,-0.17835820895522403,weakened,unchanged_faster_higher,0,,2,42;137
2.0,0.6873134328358209,0.29253731343283584,0.39477611940298507,0.6977611940298508,0.4798507462686567,0.21791044776119411,-0.17686567164179096,weakened,unchanged_faster_higher,0,,5,17;42;137;271;314
