detector,seed,curve,iou_definition,recall,precision,average_precision
faster_rcnn,17,ap50,IoU=0.50,0.63,0.14016393442622951,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.64,0.1374900079936051,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.65,0.11540983606557377,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.66,0.11530944625407166,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.67,0.11499364675984752,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.68,0.10990990990990991,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.6900000000000001,0.10768335273573923,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.7000000000000001,0.10421286031042129,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.71,0.10056439199589533,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.72,0.10056439199589533,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.73,0.10056439199589533,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.74,0.09024943310657596,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.75,0.08611825192802057,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.76,0.079408330089529,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.77,0.07546481954064893,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.78,0.07404795486600846,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.79,0.07057256990679095,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.8,0.06587009803921569,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.81,0.06379865378987416,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.8200000000000001,0.06204173716864072,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.8300000000000001,0.05860709592641262,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.84,0.056232893754665336,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.85,0.051104664137469315,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.86,0.047443762781186095,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.87,0.04725517796098934,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.88,0.04675118858954041,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.89,0.04324226524335082,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.9,0.036946564885496185,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.91,0.03353030094819294,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.92,0.030059632469271024,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.93,0.023957834211787255,0.2955726614421415
faster_rcnn,17,ap50,IoU=0.50,0.9400000000000001,0.022093634928984744,0.2955726614421415
