detector,threshold,seed_count,sensitivity,sensitivity_std,fp_per_image,fp_per_image_std
faster_rcnn,0.01,5,0.791044776119403,0.10337235206861993,5.0464,3.52264766585842
faster_rcnn,0.02,5,0.7514925373134329,0.10159263062575186,3.6282666666666663,2.4131380031449137
faster_rcnn,0.03,5,0.7335820895522389,0.1031228798967957,3.0096,1.929491677445988
faster_rcnn,0.04,5,0.7149253731343284,0.10244559107745742,2.618933333333333,1.6437062186818339
faster_rcnn,0.05,5,0.7037313432835821,0.10509545460131464,2.3698666666666663,1.4546185754348113
faster_rcnn,0.06,5,0.6917910447761194,0.10621555565808545,2.1744000000000003,1.3279157938497288
faster_rcnn,0.07,5,0.6738805970149253,0.0964608171247027,2.0096,1.2256892482735309
faster_rcnn,0.08,5,0.667910447761194,0.09783664628452905,1.8808,1.1377668575864839
faster_rcnn,0.09,5,0.6634328358208954,0.09785087603462751,1.7746666666666666,1.0523421496832672
faster_rcnn,0.1,5,0.655223880597015,0.09856680709048743,1.6674666666666664,0.9737262220745395
faster_rcnn,0.11,5,0.646268656716418,0.09518217165439394,1.584,0.9233263537642341
faster_rcnn,0.12,5,0.6402985074626866,0.0977512242837098,1.5077333333333334,0.8665078828903469
faster_rcnn,0.13,5,0.6343283582089553,0.09697904043557481,1.4437333333333335,0.8183867056593721
faster_rcnn,0.14,5,0.6261194029850745,0.0912998018642428,1.3834666666666666,0.7871589420187006
faster_rcnn,0.15,5,0.6208955223880597,0.08941998941272371,1.3328,0.7523052571928499
faster_rcnn,0.16,5,0.6171641791044775,0.08824449368698661,1.2837333333333334,0.7160008690249227
faster_rcnn,0.17,5,0.6104477611940299,0.09161188680253077,1.2378666666666667,0.6834634672834468
faster_rcnn,0.18,5,0.6074626865671642,0.09084115963730531,1.1944000000000001,0.6511292071812202
faster_rcnn,0.19,5,0.6022388059701493,0.08836274695889963,1.1536,0.6283406011958093
faster_rcnn,0.2,5,0.5955223880597015,0.08604772101470473,1.1178666666666668,0.6013707305444417
faster_rcnn,0.21,5,0.5902985074626865,0.0875634257601494,1.0842666666666667,0.5778222717910566
faster_rcnn,0.22,5,0.5888059701492537,0.0869250835447038,1.0528,0.5527519837644688
faster_rcnn,0.23,5,0.5835820895522389,0.0899245989933855,1.0205333333333333,0.5277984463789184
faster_rcnn,0.24,5,0.5813432835820895,0.08933431195012191,0.9936,0.5057627023724772
faster_rcnn,0.25,5,0.5798507462686567,0.09111662200701993,0.9677333333333333,0.4912264922280421
faster_rcnn,0.26,5,0.5783582089552238,0.09170302781675005,0.9400000000000001,0.470396523040816
faster_rcnn,0.27,5,0.5746268656716418,0.09230833490188792,0.9138666666666667,0.45088219698226667
faster_rcnn,0.28,5,0.5686567164179104,0.0912311525194111,0.8890666666666667,0.4356128760468149
faster_rcnn,0.29,5,0.5671641791044776,0.09001744837175238,0.8674666666666667,0.42014769889752923
faster_rcnn,0.3,5,0.5649253731343282,0.08773022095334682,0.8458666666666665,0.4059311381119818
faster_rcnn,0.31,5,0.5619402985074626,0.08584522692074747,0.8248,0.38802588687984324
faster_rcnn,0.32,5,0.5567164179104477,0.08189427247712633,0.7994666666666667,0.37369577644567153
faster_rcnn,0.33,5,0.5529850746268656,0.08219125314781113,0.7752000000000001,0.35612307485537137
faster_rcnn,0.34,5,0.5507462686567164,0.08346039915299089,0.7570666666666666,0.34619634762820817
faster_rcnn,0.35,5,0.5447761194029851,0.08255465257402084,0.7357333333333334,0.33181976366026716
faster_rcnn,0.36,5,0.53955223880597,0.08031494311072529,0.7162666666666666,0.32208818668184647
faster_rcnn,0.37,5,0.5350746268656716,0.07798418195589928,0.6991999999999999,0.31097924189387444
faster_rcnn,0.38,5,0.5328358208955224,0.07575637753293415,0.6789333333333334,0.2990301359766641
faster_rcnn,0.39,5,0.5305970149253731,0.07543406728702015,0.6586666666666667,0.28528815841764854
faster_rcnn,0.4,5,0.5276119402985074,0.07613220553735574,0.6424000000000001,0.27251813395319835
faster_rcnn,0.41,5,0.523134328358209,0.07671518379865716,0.6261333333333334,0.2607759361768046
faster_rcnn,0.42,5,0.5186567164179104,0.07732978274650262,0.6117333333333332,0.25248172651148876
faster_rcnn,0.43,5,0.5134328358208956,0.07704117046736447,0.5927999999999999,0.24044699115513082
faster_rcnn,0.44,5,0.5097014925373134,0.07704117046736446,0.5736000000000001,0.22708079815098609
faster_rcnn,0.45,5,0.505223880597015,0.0754894182060151,0.5605333333333333,0.22036252958351252
faster_rcnn,0.46,5,0.5007462686567165,0.0719385179689237,0.5464,0.21415342371507604
faster_rcnn,0.47,5,0.49925373134328355,0.07027418218425807,0.5309333333333333,0.20597820812460288
faster_rcnn,0.48,5,0.49253731343283585,0.06890367653962459,0.5152,0.19392002933626473
faster_rcnn,0.49,5,0.48805970149253736,0.06507959038991926,0.5002666666666667,0.18777622616058484
faster_rcnn,0.5,5,0.48134328358208955,0.06617219347376194,0.49066666666666664,0.18122055316351093
faster_rcnn,0.51,5,0.4798507462686567,0.0650902863535694,0.47280000000000005,0.17131802785073924
faster_rcnn,0.52,5,0.47238805970149256,0.060085055180907274,0.4586666666666666,0.1658406196054245
faster_rcnn,0.53,5,0.46716417910447755,0.05716388683141056,0.4442666666666667,0.15785056224163407
faster_rcnn,0.54,5,0.4619402985074627,0.05524404633827389,0.4309333333333333,0.14932857135264577
faster_rcnn,0.55,5,0.4552238805970149,0.05223880597014924,0.4168,0.1425438723886634
faster_rcnn,0.56,5,0.4477611940298508,0.05006122337686097,0.40426666666666666,0.13416540372076385
faster_rcnn,0.57,5,0.441044776119403,0.046931933383672006,0.3933333333333333,0.12760355271961146
faster_rcnn,0.58,5,0.43358208955223887,0.046783367219873084,0.3778666666666667,0.11896068444845316
faster_rcnn,0.59,5,0.426865671641791,0.047536200460271884,0.36533333333333334,0.1116024691084884
faster_rcnn,0.6,5,0.41940298507462687,0.04251112050336154,0.352,0.10221111050718072
faster_rcnn,0.61,5,0.4119402985074627,0.042347047639137644,0.33520000000000005,0.09577102322147805
faster_rcnn,0.62,5,0.4074626865671642,0.04004897870148877,0.324,0.08831257617752475
faster_rcnn,0.63,5,0.4022388059701492,0.04175104695731154,0.30799999999999994,0.08391000470080363
faster_rcnn,0.64,5,0.3925373134328358,0.039524067692135414,0.29573333333333335,0.08085872453442074
faster_rcnn,0.65,5,0.3843283582089552,0.0397523801355644,0.2837333333333333,0.08227541822710135
faster_rcnn,0.66,5,0.3761194029850746,0.04124780180727008,0.2706666666666667,0.07772315542287825
faster_rcnn,0.67,5,0.36641791044776123,0.04346654587589093,0.2554666666666666,0.07317315840601055
faster_rcnn,0.68,5,0.35820895522388063,0.04607869042995698,0.24160000000000004,0.07878747785445772
