fp_per_image_budget,prior_faster_sensitivity,prior_yolo_sensitivity,prior_faster_minus_yolo_gap,current_faster_sensitivity,current_yolo_sensitivity,current_faster_minus_yolo_gap,gap_change_current_minus_prior,gap_change_classification,direction_status
0.125,0.27761194029850744,0.1798507462686567,0.09776119402985073,0.27761194029850744,0.1798507462686567,0.09776119402985073,0.0,unchanged,unchanged_faster_higher
0.25,0.36641791044776123,0.2664179104477612,0.10000000000000003,0.36641791044776123,0.2664179104477612,0.10000000000000003,0.0,unchanged,unchanged_faster_higher
0.5,0.48582089552238805,0.382089552238806,0.10373134328358208,0.48582089552238805,0.382089552238806,0.10373134328358208,0.0,unchanged,unchanged_faster_higher
1.0,0.5999999999999999,0.49850746268656715,0.10149253731343272,0.5999999999999999,0.5074626865671641,0.09253731343283578,-0.00895522388059694,weakened,unchanged_faster_higher
2.0,0.6977611940298508,0.5880597014925373,0.10970149253731354,0.6977611940298508,0.608955223880597,0.08880597014925384,-0.020895522388059695,weakened,unchanged_faster_higher
