detector,repetition,image_id,seconds,detections,max_boxes_absolute_error,max_scores_absolute_error
faster_rcnn,1,d8cf8e37-9ba7-47ea-9e78-0c635e550583.png,0.047059500007890165,36,0.0,0.0
faster_rcnn,1,b0469327-31ae-457e-b1d8-31d1a99fc0d6.png,0.04678490001242608,18,0.0,0.0
faster_rcnn,1,17764c35-e511-4ff1-a7d1-cc5d670b0f08.png,0.046622599998954684,36,0.0,0.0
faster_rcnn,1,781c3177-0d28-4a95-902d-070104584431.png,0.05023809999693185,16,0.0,0.0
faster_rcnn,1,bd20e44c-abe6-48ac-afc7-e5cd95aa9441.png,0.05097479996038601,27,0.0,0.0
faster_rcnn,1,f4ed7271-d4b8-4bbd-a084-2728e2ef0253.png,0.04716789996018633,23,0.0,0.0
faster_rcnn,1,c8f6693a-36a2-444c-ad76-6613c41e87ea.png,0.04844959999900311,6,0.0,0.0
faster_rcnn,1,a872cd00-56a9-47b7-b38b-0ee07f10cdeb.png,0.04799560003448278,8,0.0,0.0
faster_rcnn,1,ae61cc11-2e4c-4715-8048-408677485e60.png,0.04731809999793768,18,0.0,0.0
faster_rcnn,1,82d1c9a4-49f0-4e33-b359-06e9b4a38e11.png,0.046747000014875084,23,0.0,0.0
faster_rcnn,1,f99dcdfc-1490-43ac-87ab-39a7cc4189b1.png,0.04715449997456744,35,0.0,0.0
faster_rcnn,1,29128fda-79ce-4a14-bbf9-9884422075d0.png,0.04691380000440404,39,0.0,0.0
faster_rcnn,1,b6881b42-dbed-4d4b-b631-29def07e2989.png,0.04691040003672242,27,0.0,0.0
faster_rcnn,1,169d225c-4691-4897-a382-8aac28b0c348.png,0.047490500030107796,10,0.0,0.0
faster_rcnn,1,ca315c36-fd74-46dd-9307-0524e6b937bb.png,0.04660499998135492,9,0.0,0.0
faster_rcnn,1,988557ef-b991-40cf-90dc-483a2534a75a.png,0.04776840005069971,42,0.0,0.0
faster_rcnn,1,f8918010-5d4d-430b-bacb-8ca1f278abae.png,0.04673469997942448,32,0.0,0.0
faster_rcnn,1,ceb849b4-5618-4c3b-b34a-6ef007ae2ba0.png,0.04709559999173507,27,0.0,0.0
faster_rcnn,1,d7ccc813-9dab-48c3-bf30-c6d305c85a4a.png,0.047952900000382215,35,0.0,0.0
faster_rcnn,1,0864e801-58cb-4df8-b7a8-dd9e32c97178.png,0.04742279998026788,8,0.0,0.0
faster_rcnn,1,64965325-3bb3-41f9-9377-b19ec6110048.png,0.046274400025140494,35,0.0,0.0
faster_rcnn,1,4f71fa14-67f7-4985-8f06-b8480416790f.png,0.04654030001256615,28,0.0,0.0
faster_rcnn,1,8d85ff98-36a9-4763-9238-1fe184b8409e.png,0.046979399980045855,17,0.0,0.0
faster_rcnn,1,459ef256-48ff-4456-b5f6-e2383bfbdc33.png,0.04700730001786724,17,0.0,0.0
faster_rcnn,1,83f0d9e7-520b-41ee-a7c0-f93713784281.png,0.04636229999596253,39,0.0,0.0
faster_rcnn,1,8bc6dd29-efc9-4ffc-9562-2f35b815390f.png,0.046484599995892495,29,0.0,0.0
faster_rcnn,1,74ef566d-21ce-4b66-b134-a713ca915762.png,0.04672990000108257,14,0.0,0.0
faster_rcnn,1,6a078738-03df-4e3f-adb3-d203baef1e1c.png,0.046688899979926646,35,0.0,0.0
faster_rcnn,1,7e7f06d1-3d03-448f-937c-3c9a449d773c.png,0.04856979998294264,18,0.0,0.0
faster_rcnn,1,f750621a-0f9d-4dea-941d-a2c52a8aba72.png,0.04654259997187182,39,0.0,0.0
faster_rcnn,1,e4953ef6-48c4-4aee-b6e8-57baa785b8a2.png,0.04661260003922507,33,0.0,0.0
faster_rcnn,1,8ce38d07-8569-41dd-beb9-40d9afc3f2cc.png,0.046675799996592104,17,0.0,0.0
faster_rcnn,1,853eb3dc-762c-4b84-901e-3399addf1fe6.png,0.04682200000388548,15,0.0,0.0
faster_rcnn,1,81d9d146-e9bb-478b-aeed-c2431780030e.png,0.046335000020917505,37,0.0,0.0
faster_rcnn,1,d55fda52-2efc-449c-a9c5-5066a16ea85b.png,0.046760099998209625,9,0.0,0.0
faster_rcnn,1,55a8fd40-5cd5-41a7-b23b-1b2bd671db04.png,0.046778000018093735,22,0.0,0.0
faster_rcnn,1,7dcad195-26c3-434c-a280-9896068db98b.png,0.04717420000815764,12,0.0,0.0
faster_rcnn,1,bfbd4ed3-1d78-437b-b5dc-09ab063b55fa.png,0.04670119995716959,15,0.0,0.0
faster_rcnn,1,c9401b1c-b019-4a75-b399-1bc073ffe860.png,0.04659829998854548,34,0.0,0.0
faster_rcnn,1,b0dbfa41-de0b-40f5-b635-3bdb73c620a6.png,0.047485000046435744,42,0.0,0.0
faster_rcnn,1,a2d7192f-22d8-495c-b22c-c1e56b59d3be.png,0.046386600006371737,28,0.0,0.0
faster_rcnn,1,e69f1dc2-812e-4ef4-8d6b-7b6c8bdb7b89.png,0.046929200005251914,41,0.0,0.0
faster_rcnn,1,8c9f3f8a-e276-4afc-8005-e770a332c3e7.png,0.04690909996861592,12,0.0,0.0
faster_rcnn,1,a97c72b5-606b-47c2-8837-5925c62d5aa2.png,0.046832799969706684,21,0.0,0.0
faster_rcnn,1,2b55eeed-3408-46fd-9e18-d7c5295a92b2.png,0.04637570003978908,29,0.0,0.0
faster_rcnn,1,cf4fe47f-62a2-4b8a-96ce-8a30296f5a7f.png,0.04658610001206398,15,0.0,0.0
faster_rcnn,1,15c50f7a-a638-4665-9101-cc2ffdc39a43.png,0.04660679999506101,15,0.0,0.0
faster_rcnn,1,472688c0-2bd6-4fa3-b2ee-56b441e5cb35.png,0.04747029999271035,13,0.0,0.0
