detector,test,subset_image_count,subset_patient_count,subset_stratum_counts,trained_valid_count,trained_failure_count,trained_failure_rate,randomized_valid_count,randomized_failure_count,randomized_failure_rate,k_valid_pairs,map_pair_failure_count,map_pair_failure_rate,c_sanity,correlation_std,correlation_median,correlation_min,correlation_max,sanity_failure_threshold,sanity_failure_count,sanity_failure_rate
faster_rcnn,parameter_randomization,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,0.0013601512859512015,0.09284140213649449,0.009315025273920925,-0.19480960206931144,0.20807140182682593,0.5,0,0.0
faster_rcnn,data_randomization,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,43,7,0.14,43,7,0.14,-0.015858961976343434,0.053685471118309805,-0.024132175215530488,-0.1130241365262988,0.1519888637782639,0.5,0,0.0
yolo11s,parameter_randomization,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,46,4,0.08,46,4,0.08,0.023441691781284794,0.11371172744671627,0.021572745225715777,-0.3739125254197772,0.3192909180796914,0.5,0,0.0
yolo11s,data_randomization,50,41,"{""Lung Opacity"":11,""No Lung Opacity / Not Normal"":22,""Normal"":17}",50,0,0.0,50,0,0.0,50,0,0.0,-0.0033567909759742364,0.05932428803587263,-0.0023060641023197204,-0.19378327693546032,0.11052185634425062,0.5,0,0.0
