detector,threshold_probability,net_benefit,net_benefit_ci_lower,net_benefit_ci_upper,mean_true_positive_images,mean_false_positive_images,mean_flagged_images,treat_all_net_benefit,treat_all_ci_lower,treat_all_ci_upper,treat_none_net_benefit,treat_none_ci_lower,treat_none_ci_upper,net_benefit_difference_vs_other,difference_ci_lower,difference_ci_upper,other_detector,point_estimate_preferred_detector,paired_ci_preferred_detector,point_estimate_best_strategy,population,population_unit,image_count,positive_image_count,negative_image_count,disease_prevalence,disease_prevalence_percent,patient_group_count,seed_count,seed_ids,confidence_level,bootstrap_resamples,bootstrap_valid_resamples,bootstrap_method,seed_aggregation,decision_rule,outcome_definition,score_interpretation
faster_rcnn,0.06,0.18444255319148936,0.13482954200567668,0.23824741134443764,160.8,352.0,512.8,0.17588652482269504,0.1232921935904196,0.2298974529045945,0.0,0.0,0.0,0.10481134751773051,0.06526050779720698,0.15820459120555286,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.06,0.07963120567375885,0.03475956975543389,0.131086064676524,62.2,38.8,101.0,0.17588652482269504,0.1232921935904196,0.2298974529045945,0.0,0.0,0.0,-0.10481134751773051,-0.15820459120555286,-0.06526050779720698,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.07,0.17909103942652327,0.1295434128798687,0.23396861650880577,160.0,341.2,501.2,0.16702508960573476,0.1138652279301015,0.22161678035518156,0.0,0.0,0.0,0.10321720430107524,0.06417705864423077,0.15555900468029,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.07,0.07587383512544803,0.03321781887372939,0.12512684832001744,59.6,35.8,95.4,0.16702508960573476,0.1138652279301015,0.22161678035518156,0.0,0.0,0.0,-0.10321720430107524,-0.15555900468029007,-0.06417705864423079,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.08,0.17377391304347828,0.12345795713725569,0.22873884898248878,159.2,332.0,491.2,0.15797101449275364,0.10423332823368958,0.2131560931851292,0.0,0.0,0.0,0.1019826086956522,0.06313388487953993,0.1539789268091197,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.08,0.07179130434782607,0.030488282198355456,0.11922975296565956,56.8,34.0,90.8,0.15797101449275364,0.10423332823368958,0.2131560931851292,0.0,0.0,0.0,-0.1019826086956522,-0.15397892680911973,-0.06313388487953996,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.09,0.16962051282051283,0.11865189862262839,0.22476922829187979,159.2,323.4,482.59999999999997,0.14871794871794872,0.09438973843405979,0.20450945684650423,0.0,0.0,0.0,0.10010549450549451,0.06100303427915371,0.1522632813494221,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.09,0.06951501831501831,0.02924481927844912,0.11623574745034299,55.4,33.0,88.4,0.14871794871794872,0.09438973843405979,0.20450945684650423,0.0,0.0,0.0,-0.10010549450549451,-0.15226328134942213,-0.06100303427915371,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
faster_rcnn,0.1,0.16518518518518516,0.11331235563303553,0.22069002058449116,159.2,317.8,477.0,0.13925925925925925,0.08432740219443821,0.1956706730336876,0.0,0.0,0.0,0.09816296296296294,0.0589654172928126,0.149868150126094,yolo11s,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
yolo11s,0.1,0.06702222222222222,0.02770640500204748,0.11333257744329642,53.8,31.8,85.6,0.13925925925925925,0.08432740219443821,0.1956706730336876,0.0,0.0,0.0,-0.09816296296296294,-0.14986815012609403,-0.05896541729281262,faster_rcnn,faster_rcnn,faster_rcnn,faster_rcnn,full held-out RSNA test split,exam_image,750,169,581,0.22533333333333333,22.53333333333333,323,5,17|42|137|271|314,0.95,2000,2000,paired_hierarchical_patient_cluster_percentile,arithmetic_mean_across_frozen_test_seeds,maximum emitted box confidence >= threshold,at_least_one_lung_opacity_annotation,raw_detector_score_used_as_nominal_threshold_probability
