detector,seed,threshold,sensitivity,false_positives,fp_per_image
faster_rcnn,17,0.01,0.8992537313432836,6068,8.090666666666667
faster_rcnn,17,0.02,0.8544776119402985,4388,5.850666666666666
faster_rcnn,17,0.03,0.832089552238806,3614,4.818666666666667
faster_rcnn,17,0.04,0.8097014925373134,3153,4.204
faster_rcnn,17,0.05,0.7947761194029851,2858,3.8106666666666666
faster_rcnn,17,0.06,0.7835820895522388,2635,3.513333333333333
faster_rcnn,17,0.07,0.7611940298507462,2443,3.2573333333333334
faster_rcnn,17,0.08,0.753731343283582,2293,3.0573333333333332
faster_rcnn,17,0.09,0.753731343283582,2171,2.8946666666666667
faster_rcnn,17,0.1,0.7425373134328358,2026,2.7013333333333334
faster_rcnn,17,0.11,0.7313432835820896,1923,2.564
faster_rcnn,17,0.12,0.7313432835820896,1828,2.437333333333333
faster_rcnn,17,0.13,0.7238805970149254,1746,2.328
faster_rcnn,17,0.14,0.7089552238805971,1679,2.2386666666666666
faster_rcnn,17,0.15,0.6940298507462687,1602,2.136
faster_rcnn,17,0.16,0.6902985074626866,1536,2.048
faster_rcnn,17,0.17,0.6791044776119403,1479,1.972
faster_rcnn,17,0.18,0.6791044776119403,1424,1.8986666666666667
faster_rcnn,17,0.19,0.664179104477612,1372,1.8293333333333333
faster_rcnn,17,0.2,0.6492537313432836,1332,1.776
faster_rcnn,17,0.21,0.6492537313432836,1290,1.72
faster_rcnn,17,0.22,0.6492537313432836,1244,1.6586666666666667
faster_rcnn,17,0.23,0.6455223880597015,1204,1.6053333333333333
faster_rcnn,17,0.24,0.6455223880597015,1171,1.5613333333333332
faster_rcnn,17,0.25,0.6455223880597015,1141,1.5213333333333334
faster_rcnn,17,0.26,0.6417910447761194,1105,1.4733333333333334
faster_rcnn,17,0.27,0.6380597014925373,1074,1.432
faster_rcnn,17,0.28,0.6305970149253731,1045,1.3933333333333333
faster_rcnn,17,0.29,0.6231343283582089,1020,1.36
faster_rcnn,17,0.3,0.6231343283582089,989,1.3186666666666667
faster_rcnn,17,0.31,0.6231343283582089,957,1.276
faster_rcnn,17,0.32,0.6194029850746269,923,1.2306666666666666
faster_rcnn,17,0.33,0.6119402985074627,893,1.1906666666666668
faster_rcnn,17,0.34,0.6119402985074627,872,1.1626666666666667
faster_rcnn,17,0.35,0.6119402985074627,846,1.128
faster_rcnn,17,0.36,0.6082089552238806,830,1.1066666666666667
faster_rcnn,17,0.37,0.6007462686567164,809,1.0786666666666667
faster_rcnn,17,0.38,0.5895522388059702,783,1.044
faster_rcnn,17,0.39,0.585820895522388,759,1.012
faster_rcnn,17,0.4,0.585820895522388,738,0.984
faster_rcnn,17,0.41,0.5783582089552238,717,0.956
faster_rcnn,17,0.42,0.5746268656716418,695,0.9266666666666666
faster_rcnn,17,0.43,0.5671641791044776,672,0.896
faster_rcnn,17,0.44,0.5634328358208955,642,0.856
faster_rcnn,17,0.45,0.5485074626865671,627,0.836
faster_rcnn,17,0.46,0.5447761194029851,610,0.8133333333333334
faster_rcnn,17,0.47,0.5410447761194029,592,0.7893333333333333
faster_rcnn,17,0.48,0.5335820895522388,569,0.7586666666666667
faster_rcnn,17,0.49,0.5335820895522388,558,0.744
faster_rcnn,17,0.5,0.5335820895522388,543,0.724
faster_rcnn,17,0.51,0.5335820895522388,523,0.6973333333333334
faster_rcnn,17,0.52,0.5335820895522388,508,0.6773333333333333
faster_rcnn,17,0.53,0.5223880597014925,494,0.6586666666666666
faster_rcnn,17,0.54,0.5149253731343284,481,0.6413333333333333
faster_rcnn,17,0.55,0.503731343283582,471,0.628
faster_rcnn,17,0.56,0.48880597014925375,451,0.6013333333333334
faster_rcnn,17,0.57,0.47761194029850745,438,0.584
faster_rcnn,17,0.58,0.4701492537313433,418,0.5573333333333333
faster_rcnn,17,0.59,0.4664179104477612,401,0.5346666666666666
faster_rcnn,17,0.6,0.45149253731343286,382,0.5093333333333333
faster_rcnn,17,0.61,0.44402985074626866,363,0.484
faster_rcnn,17,0.62,0.43656716417910446,346,0.4613333333333333
faster_rcnn,17,0.63,0.43656716417910446,327,0.436
faster_rcnn,17,0.64,0.4216417910447761,313,0.41733333333333333
faster_rcnn,17,0.65,0.4216417910447761,306,0.408
faster_rcnn,17,0.66,0.4141791044776119,290,0.38666666666666666
faster_rcnn,17,0.67,0.41044776119402987,267,0.356
faster_rcnn,17,0.68,0.39925373134328357,258,0.344
faster_rcnn,17,0.69,0.3880597014925373,248,0.33066666666666666
faster_rcnn,17,0.7,0.376865671641791,236,0.31466666666666665
faster_rcnn,17,0.71,0.3582089552238806,221,0.2946666666666667
faster_rcnn,17,0.72,0.35074626865671643,212,0.2826666666666667
faster_rcnn,17,0.73,0.33955223880597013,194,0.25866666666666666
faster_rcnn,17,0.74,0.332089552238806,179,0.23866666666666667
faster_rcnn,17,0.75,0.31716417910447764,162,0.216
faster_rcnn,17,0.76,0.30970149253731344,143,0.19066666666666668
faster_rcnn,17,0.77,0.30223880597014924,125,0.16666666666666666
faster_rcnn,17,0.78,0.2835820895522388,106,0.14133333333333334
faster_rcnn,17,0.79,0.27238805970149255,85,0.11333333333333333
faster_rcnn,17,0.8,0.2574626865671642,76,0.10133333333333333
faster_rcnn,17,0.81,0.23507462686567165,66,0.088
faster_rcnn,17,0.82,0.2126865671641791,57,0.076
faster_rcnn,17,0.83,0.1865671641791045,43,0.05733333333333333
faster_rcnn,17,0.84,0.16791044776119404,31,0.04133333333333333
faster_rcnn,17,0.85,0.15298507462686567,25,0.03333333333333333
faster_rcnn,17,0.86,0.12313432835820895,17,0.02266666666666667
faster_rcnn,17,0.87,0.1044776119402985,14,0.018666666666666668
faster_rcnn,17,0.88,0.07462686567164178,11,0.014666666666666666
faster_rcnn,17,0.89,0.06343283582089553,6,0.008
faster_rcnn,17,0.9,0.05223880597014925,4,0.005333333333333333
faster_rcnn,17,0.91,0.014925373134328358,0,0.0
faster_rcnn,17,0.92,0.007462686567164179,0,0.0
faster_rcnn,17,0.93,0.007462686567164179,0,0.0
faster_rcnn,17,0.94,0.0,0,0.0
faster_rcnn,17,0.95,0.0,0,0.0
faster_rcnn,17,0.96,0.0,0,0.0
faster_rcnn,17,0.97,0.0,0,0.0
faster_rcnn,17,0.98,0.0,0,0.0
faster_rcnn,17,0.99,0.0,0,0.0
faster_rcnn,42,0.01,0.7761194029850746,2406,3.208
faster_rcnn,42,0.02,0.7350746268656716,1797,2.396
faster_rcnn,42,0.03,0.7089552238805971,1536,2.048
faster_rcnn,42,0.04,0.6828358208955224,1353,1.804
faster_rcnn,42,0.05,0.6791044776119403,1243,1.6573333333333333
faster_rcnn,42,0.06,0.664179104477612,1149,1.532
faster_rcnn,42,0.07,0.6529850746268657,1062,1.416
