scope,condition_id,family,corruption,severity,estimand,metric,unit,detector_a,detector_b,image_count,patient_group_count,seed_count,confidence_level,detector_a_estimate,detector_a_ci_low,detector_a_ci_high,detector_b_estimate,detector_b_ci_low,detector_b_ci_high,difference_a_minus_b,difference_ci_low,difference_ci_high,bootstrap_resamples,bootstrap_valid_a,bootstrap_valid_b,bootstrap_valid_difference,test_name,permutation_resamples,permutation_valid,p_value_raw,p_value_holm,holm_family_size,effect_size_name,effect_size,effect_size_n,status,reason
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.8155182084540205,0.7982355995432848,0.8310872785698354,0.8352930836886178,0.8094052726755577,0.8538067646374041,-0.01977487523459731,-0.04496780510504101,0.011949891133940679,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.13797240551889622,1.0,34,paired_raw_difference,-0.01977487523459731,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.37528747843153387,0.2407803505138807,0.5038716215598701,0.2033630716192712,0.10188347516147234,0.300399447910457,0.17192440681226268,0.0892459836304756,0.2527300175718235,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.15716856628674264,1.0,35,paired_raw_difference,0.17192440681226268,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,raw,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.15036373403637363,0.09669421309562848,0.21112289652074065,0.073565046048051,0.03461045002250668,0.11627678532594028,0.07679868798832262,0.04077471669998109,0.1213847907249018,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.11157768446310738,1.0,35,paired_raw_difference,0.07679868798832262,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9813632694988627,0.9305424156766564,1.015153990889285,1.051282051282051,0.8670764399509806,1.266452850877193,-0.06991878178318844,-0.2991756637760616,0.1137873711237109,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.1959608078384323,1.0,35,paired_raw_difference,-0.06991878178318844,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,recall,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.974025974025974,0.9275296442687747,1.0,1.0,0.7058823529411765,1.2499999999999998,-0.025974025974025983,-0.2682316586921851,0.26671182266009824,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.7498500299940012,1.0,35,paired_raw_difference,-0.025974025974025983,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,f1,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9800946716834565,0.9321936650103781,1.012029049374143,1.0133333333333334,0.7506470628221497,1.2307692307692308,-0.03323866164987688,-0.26010809790509676,0.23128051938771985,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.5772845430913818,1.0,35,paired_raw_difference,-0.03323866164987688,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,iou,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0042137404240878,0.9872431082565796,1.0243645352715833,1.0415872124319396,0.9851071013011111,1.0798077996555637,-0.03737347200785179,-0.0779761148412066,0.015586667155439427,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.033593281343731254,0.9406118776244752,34,paired_raw_difference,-0.03737347200785179,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,dice,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0029054062319518,0.9921161038600979,1.0153972239347335,1.0257190350695717,0.9918054662052648,1.048402052454114,-0.022813628837619948,-0.046641575537964455,0.009275815156177168,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.033793241351729654,0.98000399920016,34,paired_raw_difference,-0.022813628837619948,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,map_50,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.9935780795046862,0.9680113909092797,1.016068517772946,0.9625023016111351,0.8918476286014521,1.0796087950821518,0.031075777893551093,-0.08214076542041768,0.09699591340281488,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.17056588682263546,1.0,35,paired_raw_difference,0.031075777893551093,183,complete,
phase6_primary_seed_robustness,darker_s1,lighting,darker,1,retention,map_50_95,ratio,faster_rcnn,yolo11s,300,183,1,0.95,1.0173305963840624,0.9345218553186477,1.1305424990832564,0.9642217217424282,0.8869698864340273,1.0644178945655562,0.053108874641634274,-0.0546168374967627,0.14691606491933046,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.531493701259748,1.0,35,paired_raw_difference,0.053108874641634274,183,complete,
phase6_primary_seed_robustness,darker_s2,lighting,darker,2,raw,precision,ratio,faster_rcnn,yolo11s,300,183,1,0.95,0.14942528735632185,0.10269923769923771,0.19392942919924372,0.5263157894736842,0.31704107830552,0.7272727272727273,-0.3768905021173623,-0.5685339198263206,-0.19765596948403857,2000,2000,2000,2000,paired_patient_cluster_label_swap,5000,5000,0.0001999600079984003,0.006998600279944011,35,paired_raw_difference,-0.3768905021173623,183,complete,
