detector,selection_split,selection_rule,tie_breaker,selected_threshold,threshold_selection_run_count,test_run_count,validation_precision,validation_precision_std,validation_recall,validation_recall_std,validation_f1,validation_f1_std,test_precision,test_precision_std,test_recall,test_recall_std,test_f1,test_f1_std
faster_rcnn,validation,maximum arithmetic mean F1 across three validation seeds,highest threshold among exact mean-F1 ties,0.69,3,5,0.416449481200931,0.07691957342798401,0.44043321299638993,0.06627277888334229,0.4202466656023896,0.0077603734217001445,0.36241949982431737,0.05808059502476196,0.35074626865671643,0.046304752410413645,0.35114441902999755,0.018416797465238582
yolo11s,validation,maximum arithmetic mean F1 across three validation seeds,highest threshold among exact mean-F1 ties,0.05,3,5,0.40761627906976744,0.010697200444505041,0.32129963898916963,0.031472194538199834,0.358838521477681,0.02094276785821426,0.2524033958729871,0.1417899409846352,0.19477611940298506,0.11095336070295891,0.21920560377085513,0.12326897269444748
