detector,seed,selection_split,selection_rule,selected_threshold,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1,test_true_positives,test_false_positives,test_false_negatives,test_prediction_count,test_target_count
faster_rcnn,17,validation,maximum arithmetic mean F1 across three validation seeds,0.69,0.36619718309859156,0.4693140794223827,0.41139240506329117,0.29545454545454547,0.3880597014925373,0.33548387096774196,104,248,164,352,268
faster_rcnn,42,validation,maximum arithmetic mean F1 across three validation seeds,0.69,0.37815126050420167,0.48736462093862815,0.4258675078864353,0.32926829268292684,0.40298507462686567,0.3624161073825503,108,220,160,328,268
faster_rcnn,137,validation,maximum arithmetic mean F1 across three validation seeds,0.69,0.505,0.36462093862815886,0.42348008385744235,0.43820224719101125,0.291044776119403,0.34977578475336324,78,100,190,178,268
yolo11s,17,validation,maximum arithmetic mean F1 across three validation seeds,0.05,0.4125,0.3574007220216607,0.3829787234042553,0.29411764705882354,0.26119402985074625,0.27667984189723316,70,168,198,238,268
yolo11s,42,validation,maximum arithmetic mean F1 across three validation seeds,0.05,0.3953488372093023,0.30685920577617326,0.34552845528455284,0.3181818181818182,0.26119402985074625,0.2868852459016394,70,150,198,220,268
yolo11s,137,validation,maximum arithmetic mean F1 across three validation seeds,0.05,0.415,0.2996389891696751,0.34800838574423476,0.3163841807909605,0.208955223880597,0.251685393258427,56,121,212,177,268
