detector,selection_split,beta,recall_to_precision_weight,candidate_threshold,canonical_selected_threshold,canonical_selection_rule,f_beta_ci_lower,near_optimal_lcb_tolerance,in_near_optimal_plateau,near_optimal_plateau_start,near_optimal_plateau_end,near_optimal_plateau_width,near_optimal_plateau_candidate_count,bootstrap_selection_count,bootstrap_selection_frequency,bootstrap_resamples,bootstrap_selection_rule,tie_breaker
faster_rcnn,validation,1.0,1.0,0.24,0.69,maximum_lower_confidence_bound_f_beta,0.19358463272359036,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.25,0.69,maximum_lower_confidence_bound_f_beta,0.19647396263392897,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.26,0.69,maximum_lower_confidence_bound_f_beta,0.19847181970948674,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.27,0.69,maximum_lower_confidence_bound_f_beta,0.2010761509415927,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.28,0.69,maximum_lower_confidence_bound_f_beta,0.2064124779745791,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.29,0.69,maximum_lower_confidence_bound_f_beta,0.20940812434654646,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.3,0.69,maximum_lower_confidence_bound_f_beta,0.21151914577751063,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.31,0.69,maximum_lower_confidence_bound_f_beta,0.21639974968956313,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.32,0.69,maximum_lower_confidence_bound_f_beta,0.22035130953669935,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.33,0.69,maximum_lower_confidence_bound_f_beta,0.22381289156566986,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.34,0.69,maximum_lower_confidence_bound_f_beta,0.22636729592624522,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.35,0.69,maximum_lower_confidence_bound_f_beta,0.2299290151066894,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.36,0.69,maximum_lower_confidence_bound_f_beta,0.23238025080090458,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.37,0.69,maximum_lower_confidence_bound_f_beta,0.236640398934685,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.38,0.69,maximum_lower_confidence_bound_f_beta,0.23985688608073671,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.39,0.69,maximum_lower_confidence_bound_f_beta,0.2419003439361079,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.4,0.69,maximum_lower_confidence_bound_f_beta,0.24020116085518287,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.41,0.69,maximum_lower_confidence_bound_f_beta,0.24191388279827328,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.42,0.69,maximum_lower_confidence_bound_f_beta,0.24687911435993784,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.43,0.69,maximum_lower_confidence_bound_f_beta,0.2483121757678227,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.44,0.69,maximum_lower_confidence_bound_f_beta,0.25322015069546105,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.45,0.69,maximum_lower_confidence_bound_f_beta,0.2557570436409405,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.46,0.69,maximum_lower_confidence_bound_f_beta,0.26101245082862895,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.47,0.69,maximum_lower_confidence_bound_f_beta,0.26346541150330455,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.48,0.69,maximum_lower_confidence_bound_f_beta,0.26771519912020303,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.49,0.69,maximum_lower_confidence_bound_f_beta,0.27234621920503266,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.5,0.69,maximum_lower_confidence_bound_f_beta,0.2726582723816274,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.51,0.69,maximum_lower_confidence_bound_f_beta,0.2737010010509855,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.52,0.69,maximum_lower_confidence_bound_f_beta,0.2780857527870723,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.53,0.69,maximum_lower_confidence_bound_f_beta,0.2810382849356444,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
faster_rcnn,validation,1.0,1.0,0.54,0.69,maximum_lower_confidence_bound_f_beta,0.2849648121781537,0.01,False,0.64,0.7,0.06,7,0,0.0,2000,maximum_bootstrap_mean_f_beta,highest_threshold
