detector,curve,iou_definition,recall,seed_count,precision,precision_std,average_precision,average_precision_std
faster_rcnn,ap50,IoU=0.50,0.0,5,1.0,1.1102230246251565e-16,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.01,5,0.9099999999999999,0.12449899597988731,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.02,5,0.7975954668637596,0.09323216148586903,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.03,5,0.7598321191004118,0.07012239827210043,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.04,5,0.7498321191004118,0.07525259940321909,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.05,5,0.7248697130853742,0.04220159802149552,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.06,5,0.7148010631997906,0.02572307353265621,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.07,5,0.7077157169840096,0.021948396633062427,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.08,5,0.701974976243269,0.026534740553674944,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.09,5,0.701974976243269,0.026534740553674944,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.1,5,0.6993494936177863,0.02168454993751005,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.11,5,0.677172463532423,0.02561705989377193,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.12,5,0.669107559107559,0.02521099425842478,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.13,5,0.6656110556110556,0.02881190391398639,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.14,5,0.6519783476369119,0.033992281421663044,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.15,5,0.6343916779737675,0.037225402236645645,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.16,5,0.6108011637806775,0.04884672707507722,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.17,5,0.6054755764473956,0.04277646920872462,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.18,5,0.5901674150813319,0.03228283610676455,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.19,5,0.5765686007648905,0.03711200807237731,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.2,5,0.5596959228837787,0.038471233658135616,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.21,5,0.541005238019839,0.033533496107931486,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.22,5,0.5304534616781483,0.0401486638421152,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.23,5,0.5069387772630218,0.024617810639529728,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.24,5,0.49649109174812134,0.03270878152233381,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.25,5,0.48644296662388287,0.02945918697219505,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.26,5,0.4749936474760001,0.02161146398188561,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.27,5,0.46396280471368334,0.02275621142136327,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.28,5,0.4490502717742827,0.022906882778499962,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.29,5,0.43150509207171195,0.029354771994420097,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.3,5,0.4085330824471048,0.02406494778727214,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.31,5,0.38952205565319475,0.032956006839293506,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.32,5,0.3801758951429125,0.0352586175693863,0.3042238071036434,0.01889597011566169
faster_rcnn,ap50,IoU=0.50,0.33,5,0.3756762841025333,0.03535829073066892,0.3042238071036434,0.01889597011566169
