detector,condition_id,family,corruption,kind,severity,value,unit,image_count,target_count,true_positives,false_positives,false_negatives,inference_seconds,prediction_bundle,prediction_bundle_sha256,precision,precision_relative,precision_degradation,recall,recall_relative,recall_degradation,f1,f1_relative,f1_degradation,iou,iou_relative,iou_degradation,dice,dice_relative,dice_degradation,map_50,map_50_relative,map_50_degradation,map_50_95,map_50_95_relative,map_50_95_degradation
faster_rcnn,clean,clean,clean,clean,0,,none,300,111,77,458,34,,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__clean.json.gz,281dcef0e90e36d80736e51802bd0c4611dc088d46e5dd363200e5c88f112d2b,0.14392523364485982,1.0,0.0,0.6936936936936937,1.0,0.0,0.238390092879257,1.0,0.0,0.6920036232087895,1.0,0.0,0.8131556609292098,1.0,0.0,0.37771312207151386,1.0,0.0,0.1478022331883237,1.0,0.0
faster_rcnn,darker_s1,lighting,darker,brightness,1,0.9,multiplier,300,111,75,456,36,31.11176919992431,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__darker_s1.json.gz,26a405051e50f71729da0d896adf5a2fd5bbb3d08e2841eb648ecf4b81c55d5c,0.14124293785310735,0.9813632694988627,0.018636730501137344,0.6756756756756757,0.974025974025974,0.025974025974025983,0.2336448598130841,0.9800946716834565,0.019905328316543458,0.6949195468495196,1.0042137404240878,-0.004213740424087842,0.8155182084540205,1.0029054062319518,-0.0029054062319517904,0.37528747843153387,0.9935780795046862,0.00642192049531376,0.15036373403637363,1.0173305963840624,-0.017330596384062424
faster_rcnn,darker_s2,lighting,darker,brightness,2,0.8,multiplier,300,111,78,444,33,29.3862709000241,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__darker_s2.json.gz,fc486f351c07ad1a898bfbca92f612e4e23d5c133340c6615b88106420aea01f,0.14942528735632185,1.0382146589043142,-0.03821465890431419,0.7027027027027027,1.012987012987013,-0.012987012987013102,0.24644549763033177,1.033790853696067,-0.033790853696066936,0.6879878603347956,0.9941969048436872,0.005803095156312832,0.8100765045293981,0.9962133247694629,0.0037866752305371065,0.3777244134607964,1.0000298940879273,-2.9894087927306856e-05,0.15004458654499797,1.0151713090411643,-0.01517130904116426
faster_rcnn,darker_s3,lighting,darker,brightness,3,0.7,multiplier,300,111,73,439,38,30.362602000081097,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__darker_s3.json.gz,9ad910fb942b15661dbbd6343192a49979ff50a8045344d1762e1592d0042bcd,0.142578125,0.9906402191558441,0.009359780844155896,0.6576576576576577,0.9480519480519481,0.051948051948051854,0.23434991974317818,0.9830522607408642,0.01694773925913584,0.7000698968806538,1.0116564038125426,-0.011656403812542626,0.8190437308998196,1.0072410120884867,-0.007241012088486709,0.35495763036673683,0.9397545640459146,0.06024543595408538,0.14330857682132567,0.9695968303721609,0.030403169627839066
faster_rcnn,darker_s4,lighting,darker,brightness,4,0.6,multiplier,300,111,75,432,36,31.132725300078164,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__darker_s4.json.gz,6c61aa03a19ea827a30a986055f7eaae6e13f8fc2e2788949cbeb66e0c4d7936,0.14792899408284024,1.0278183355106432,-0.027818335510643166,0.6756756756756757,0.974025974025974,0.025974025974025983,0.24271844660194178,1.0181566006808724,-0.018156600680872437,0.6919549231386076,0.9999296245445132,7.037545548682633e-05,0.8128274071130901,0.9995963210589415,0.0004036789410585273,0.3275667538237673,0.8672368913933254,0.13276310860667462,0.13249167146600893,0.8964118376830839,0.10358816231691614
faster_rcnn,darker_s5,lighting,darker,brightness,5,0.5,multiplier,300,111,71,400,40,30.15308189994539,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__darker_s5.json.gz,a11ca86e1acfaecdd7559409d118e75951d221571f93afa04f9b8cd1ed870287,0.15074309978768577,1.0473708881352193,-0.04737088813521928,0.6396396396396397,0.922077922077922,0.07792207792207795,0.24398625429553264,1.0234748069799615,-0.023474806979961516,0.699990016868642,1.0115409708735628,-0.011540970873562761,0.8189750023156148,1.0071564912673119,-0.007156491267311882,0.31557806099062835,0.8354966839909754,0.16450331600902457,0.12820180952385116,0.8673874998931954,0.1326125001068046
faster_rcnn,brighter_s1,lighting,brighter,brightness,1,1.1,multiplier,300,111,75,462,36,30.373053099930985,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__brighter_s1.json.gz,ffb431162238d9056219d5d50d3b0a6f99035ba16936d94ec523af5b3ab2b2ed,0.13966480446927373,0.9703983167670318,0.02960168323296819,0.6756756756756757,0.974025974025974,0.025974025974025983,0.23148148148148145,0.9710197210197208,0.028980278980279217,0.6918714330952356,0.9998089748245234,0.00019102517547664455,0.8130919326193174,0.9999216284003736,7.837159962642559e-05,0.3685571258859183,0.9757593907900769,0.024240609209923103,0.14262501881174247,0.9649720152063966,0.03502798479360336
faster_rcnn,brighter_s2,lighting,brighter,brightness,2,1.2,multiplier,300,111,75,464,36,20.316124200064223,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__brighter_s2.json.gz,0cbe3e2f0984b02b29bfb8703becc390deb104ff3596f55990900efc43bd5f57,0.1391465677179963,0.9667975808977665,0.03320241910223354,0.6756756756756757,0.974025974025974,0.025974025974025983,0.2307692307692308,0.9680319680319681,0.031968031968031885,0.6815834579763675,0.9849420365978662,0.015057963402133834,0.805881275507683,0.9910541292755507,0.0089458707244493,0.36223096756075696,0.9590108110995794,0.04098918890042058,0.13856437144147735,0.9374984968253096,0.06250150317469039
faster_rcnn,brighter_s3,lighting,brighter,brightness,3,1.3,multiplier,300,111,73,473,38,19.77067289997649,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__brighter_s3.json.gz,9f8d743a611866cd976aeebb245b6dfe70e3f6b4c385d0a2735606314ba4a6e8,0.1336996336996337,0.9289520003805718,0.0710479996194282,0.6576576576576577,0.9480519480519481,0.051948051948051854,0.2222222222222222,0.932178932178932,0.067821067821068,0.6931244958293807,1.001619749641474,-0.0016197496414740442,0.8146737928325669,1.001866963456446,-0.0018669634564461024,0.32630225709038885,0.8638891211955533,0.13611087880444672,0.1282914363068591,0.8679938965698528,0.13200610343014718
faster_rcnn,brighter_s4,lighting,brighter,brightness,4,1.4,multiplier,300,111,71,493,40,28.46351289980521,C:/Users/Pouyan/PycharmProjects/Uni/Deep Learning/DP_Final_Project/results/logs/phase6_robustness/predictions/faster_rcnn__brighter_s4.json.gz,6d4c137f9df690e748578f1bff986c6f2eb9c0383bfc544efa42c5f5f7005618,0.12588652482269502,0.874666114027816,0.12533388597218398,0.6396396396396397,0.922077922077922,0.07792207792207795,0.21037037037037037,0.8824627224627224,0.1175372775372776,0.6831487582947365,0.9872040194341853,0.012795980565814657,0.8065472320223734,0.9918731071744803,0.008126892825519705,0.32465683611325635,0.8595328495147908,0.1404671504852092,0.12803218144916134,0.8662398306663462,0.13376016933365376
