detector,threshold,seed_count,precision,precision_std,precision_mean_plus_minus_std,recall,recall_std,recall_mean_plus_minus_std,f1,f1_std,f1_mean_plus_minus_std
faster_rcnn,0.25,5,0.19589066943662742,0.05520862435372457,0.195891 ± 0.0552086,0.5798507462686567,0.09111662200701993,0.579851 ± 0.0911166,0.2845263147467961,0.052756619727272476,0.284526 ± 0.0527566
faster_rcnn,0.26,5,0.19931523864651618,0.054846960067591106,0.199315 ± 0.054847,0.5783582089552238,0.09170302781675005,0.578358 ± 0.091703,0.28819896295017666,0.05157527869166737,0.288199 ± 0.0515753
faster_rcnn,0.27,5,0.20193634722458728,0.053908865061477164,0.201936 ± 0.0539089,0.5746268656716418,0.09230833490188792,0.574627 ± 0.0923083,0.29070831301987854,0.049839095994274205,0.290708 ± 0.0498391
faster_rcnn,0.28,5,0.20435074914045986,0.053991340142180905,0.204351 ± 0.0539913,0.5686567164179104,0.0912311525194111,0.568657 ± 0.0912312,0.2925253380243215,0.049271435829259656,0.292525 ± 0.0492714
faster_rcnn,0.29,5,0.2075365320791692,0.054423670679511676,0.207537 ± 0.0544237,0.5671641791044776,0.09001744837175238,0.567164 ± 0.0900174,0.2958113992740074,0.049297850788829325,0.295811 ± 0.0492979
faster_rcnn,0.3,5,0.21076059037935163,0.054911025718886106,0.210761 ± 0.054911,0.5649253731343282,0.08773022095334682,0.564925 ± 0.0877302,0.2989217259622571,0.04887308486669522,0.298922 ± 0.0488731
faster_rcnn,0.31,5,0.21326044795662535,0.05427574867925594,0.21326 ± 0.0542757,0.5619402985074626,0.08584522692074747,0.56194 ± 0.0858452,0.3013283854906341,0.04774822096462359,0.301328 ± 0.0477482
faster_rcnn,0.32,5,0.2169912016788365,0.055774984928233434,0.216991 ± 0.055775,0.5567164179104477,0.08189427247712633,0.556716 ± 0.0818943,0.3043195917125982,0.047931159152955004,0.30432 ± 0.0479312
faster_rcnn,0.33,5,0.22031074590373168,0.05530370957528107,0.220311 ± 0.0553037,0.5529850746268656,0.08219125314781113,0.552985 ± 0.0821913,0.3072769371394687,0.04700884877709565,0.307277 ± 0.0470088
faster_rcnn,0.34,5,0.223305779452473,0.05525885224742871,0.223306 ± 0.0552589,0.5507462686567164,0.08346039915299089,0.550746 ± 0.0834604,0.30993107643869794,0.04620482546602954,0.309931 ± 0.0462048
faster_rcnn,0.35,5,0.22571479933857547,0.05436048102339707,0.225715 ± 0.0543605,0.5447761194029851,0.08255465257402084,0.544776 ± 0.0825547,0.3114399076100463,0.04401653376127078,0.31144 ± 0.0440165
faster_rcnn,0.36,5,0.22852872513600558,0.054670079426458844,0.228529 ± 0.0546701,0.53955223880597,0.08031494311072529,0.539552 ± 0.0803149,0.31341891350740203,0.044096236439325254,0.313419 ± 0.0440962
faster_rcnn,0.37,5,0.23099695887218755,0.05494009432963189,0.230997 ± 0.0549401,0.5350746268656716,0.07798418195589928,0.535075 ± 0.0779842,0.3151504173651799,0.04371695111525089,0.31515 ± 0.043717
faster_rcnn,0.38,5,0.23535762628102247,0.056227554369349356,0.235358 ± 0.0562276,0.5328358208955224,0.07575637753293415,0.532836 ± 0.0757564,0.3190033983794095,0.04456817132715768,0.319003 ± 0.0445682
faster_rcnn,0.39,5,0.23930100745321545,0.05529515254121007,0.239301 ± 0.0552952,0.5305970149253731,0.07543406728702015,0.530597 ± 0.0754341,0.3225087926753236,0.04271968684141545,0.322509 ± 0.0427197
faster_rcnn,0.4,5,0.2418819082854315,0.053690527823328914,0.241882 ± 0.0536905,0.5276119402985074,0.07613220553735574,0.527612 ± 0.0761322,0.3245652416180782,0.0407834225689319,0.324565 ± 0.0407834
faster_rcnn,0.41,5,0.24427433529741727,0.05249185368732317,0.244274 ± 0.0524919,0.523134328358209,0.07671518379865716,0.523134 ± 0.0767152,0.3260548997215759,0.038908595216169364,0.326055 ± 0.0389086
faster_rcnn,0.42,5,0.2465351532538111,0.05147599714380686,0.246535 ± 0.051476,0.5186567164179104,0.07732978274650262,0.518657 ± 0.0773298,0.32723099113899773,0.0367283040692895,0.327231 ± 0.0367283
faster_rcnn,0.43,5,0.24969516799858965,0.049903033146423324,0.249695 ± 0.049903,0.5134328358208956,0.07704117046736447,0.513433 ± 0.0770412,0.329250439229584,0.034900805036353594,0.32925 ± 0.0349008
