detector,operating_status,target_count,valid_cam_count,zero_energy_cam_count,image_count,mean_energy_in_box,median_energy_in_box,pointing_game_accuracy,mean_box_area_fraction,mean_energy_lift_over_area,image_macro_mean_energy_in_box,image_macro_pointing_game_accuracy
faster_rcnn,all,111,110,1,68,0.08689488001202586,0.03736769252568773,0.10909090909090909,0.07128912318836558,0.015605756823660272,0.08958975737554671,0.11029411764705882
faster_rcnn,true_positive,77,76,1,54,0.112224617517692,0.054886519768977314,0.14473684210526316,0.08621117943211605,0.02601343808557593,0.10720824431300478,0.1388888888888889
faster_rcnn,false_negative,34,34,0,30,0.030275466764066273,0.007437961692209493,0.029411764705882353,0.037933938643511605,-0.007658471879445326,0.032862554901547845,0.03333333333333333
yolo11s,all,111,111,0,68,0.09749095611722909,0.07196775751942583,0.12612612612612611,0.07178361566217097,0.025707340455058122,0.09398041368694321,0.1323529411764706
yolo11s,true_positive,19,19,0,17,0.1447804626220079,0.15224470054985703,0.15789473684210525,0.10572026905260588,0.03906019356940202,0.14139599536676364,0.14705882352941177
yolo11s,false_negative,92,92,0,61,0.08772464499124215,0.0599761343054262,0.11956521739130435,0.06477495898371158,0.02294968600753057,0.08151061880500438,0.11475409836065574
