detector,family,corruption,severity,value,unit,metric,clean_performance,corrupted_performance,relative_performance,relative_degradation
faster_rcnn,noise,gaussian_noise,3,0.035,fraction_of_uint8_range_std,dice,0.8131556609292098,0.8043560054058553,0.9891783874279385,0.01082161257206149
faster_rcnn,noise,gaussian_noise,3,0.035,fraction_of_uint8_range_std,map_50,0.37771312207151386,0.25328857609495836,0.6705845290887253,0.32941547091127465
faster_rcnn,noise,gaussian_noise,3,0.035,fraction_of_uint8_range_std,map_50_95,0.1478022331883237,0.09817504002774396,0.6642324537996206,0.3357675462003794
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,precision,0.14392523364485982,0.09259259259259259,0.6433381433381433,0.3566618566618567
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,recall,0.6936936936936937,0.5405405405405406,0.7792207792207793,0.22077922077922074
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,f1,0.238390092879257,0.15810276679841898,0.663210307479082,0.33678969252091795
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,iou,0.6920036232087895,0.6986235400223937,1.0095663036891454,-0.00956630368914535
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,dice,0.8131556609292098,0.8194336634270258,1.0077205420800268,-0.007720542080026815
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,map_50,0.37771312207151386,0.20337603984461128,0.5384404934867614,0.4615595065132386
faster_rcnn,noise,gaussian_noise,4,0.05,fraction_of_uint8_range_std,map_50_95,0.1478022331883237,0.08877351711642327,0.600623652305115,0.39937634769488495
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,precision,0.14392523364485982,0.08925869894099848,0.6201740770575869,0.37982592294241313
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,recall,0.6936936936936937,0.5315315315315315,0.7662337662337663,0.23376623376623373
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,f1,0.238390092879257,0.1528497409326425,0.641174887288877,0.35882511271112305
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,iou,0.6920036232087895,0.6746269340852319,0.9748893090429459,0.025110690957054094
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,dice,0.8131556609292098,0.8019274028809247,0.9861917482866019,0.013808251713398056
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,map_50,0.37771312207151386,0.1715206324670049,0.4541029221498168,0.5458970778501833
faster_rcnn,noise,gaussian_noise,5,0.075,fraction_of_uint8_range_std,map_50_95,0.1478022331883237,0.06862013969988436,0.4642699790093924,0.5357300209906076
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,precision,0.14392523364485982,0.15789473684210525,1.097060833902939,-0.09706083390293907
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,recall,0.6936936936936937,0.5945945945945946,0.8571428571428572,0.1428571428571428
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,f1,0.238390092879257,0.24952741020793953,1.0467188765865514,-0.04671887658655138
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,iou,0.6920036232087895,0.6765904975550464,0.9777268136512449,0.02227318634875508
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,dice,0.8131556609292098,0.8032360217692869,0.9878010574893035,0.012198942510696531
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,map_50,0.37771312207151386,0.24854798526521663,0.6580337582715966,0.3419662417284034
faster_rcnn,noise,salt_and_pepper,1,0.0025,affected_pixel_fraction,map_50_95,0.1478022331883237,0.09821033399672503,0.6644712456515414,0.33552875434845864
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,precision,0.14392523364485982,0.15730337078651685,1.0929519918283963,-0.09295199182839631
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,recall,0.6936936936936937,0.5045045045045045,0.7272727272727272,0.2727272727272728
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,f1,0.238390092879257,0.2398286937901499,1.006034650574265,-0.006034650574264999
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,iou,0.6920036232087895,0.69484317775527,1.0041033810391247,-0.004103381039124665
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,dice,0.8131556609292098,0.815796813069354,1.0032480277357059,-0.0032480277357058718
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,map_50,0.37771312207151386,0.19604911663212715,0.5190423768094783,0.4809576231905217
faster_rcnn,noise,salt_and_pepper,2,0.005,affected_pixel_fraction,map_50_95,0.1478022331883237,0.07833519895599911,0.5300001039645154,0.46999989603548464
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,precision,0.14392523364485982,0.14181818181818182,0.9853600944510035,0.014639905548996524
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,recall,0.6936936936936937,0.35135135135135137,0.5064935064935066,0.49350649350649345
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,f1,0.238390092879257,0.20207253886010362,0.8476549357378371,0.15234506426216288
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,iou,0.6920036232087895,0.6812448330400479,0.9844526967664511,0.015547303233548915
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,dice,0.8131556609292098,0.8077512718187716,0.9933538074318238,0.0066461925681762235
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,map_50,0.37771312207151386,0.13200227025985978,0.34947758641773446,0.6505224135822656
faster_rcnn,noise,salt_and_pepper,3,0.01,affected_pixel_fraction,map_50_95,0.1478022331883237,0.05055536774983207,0.3420473876427594,0.6579526123572406
faster_rcnn,noise,salt_and_pepper,4,0.02,affected_pixel_fraction,precision,0.14392523364485982,0.11009174311926606,0.7649231502442512,0.23507684975574883
