detector,omitted_seed,metric,endpoint_conditioning,full_run_mean,leave_one_run_out_mean,change_from_full,contributing_run_count,contributing_run_ids,seed_271_influence_note
yolo11s,17,iou,conditional_on_matched_detection,0.698528133351987,0.6997873944149345,0.001259261062947492,3,42;137;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,17,dice,conditional_on_matched_detection,0.8180641430069512,0.8186554819958441,0.0005913389888929643,3,42;137;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,17,map_50,unconditional,0.16261194018585284,0.15722199009310928,-0.005389950092743567,4,42;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,17,map_50_95,unconditional,0.054168353430577396,0.05253716762229542,-0.0016311858082819763,4,42;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,precision,unconditional,0.298316891974181,0.27289611496772626,-0.02542077700645473,4,17;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,recall,unconditional,0.0955223880597015,0.0876865671641791,-0.0078358208955224,4,17;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,f1,unconditional,0.14266144111134127,0.13016816116254767,-0.012493279948793595,4,17;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,iou,conditional_on_matched_detection,0.698528133351987,0.6923643159791103,-0.006163817372876745,3,17;137;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,dice,conditional_on_matched_detection,0.8180641430069512,0.813759450400469,-0.004304692606482141,3,17;137;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,map_50,unconditional,0.16261194018585284,0.16103136215180253,-0.0015805780340503173,4,17;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,42,map_50_95,unconditional,0.054168353430577396,0.0531298943227652,-0.0010384591078121952,4,17;137;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,precision,unconditional,0.298316891974181,0.29096334185848255,-0.007353550115698437,4,17;42;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,recall,unconditional,0.0955223880597015,0.08302238805970148,-0.012500000000000011,4,17;42;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,f1,unconditional,0.14266144111134127,0.12793920448995177,-0.014722236621389495,4,17;42;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,iou,conditional_on_matched_detection,0.698528133351987,0.7048597240989132,0.00633159074692613,3,17;42;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,dice,conditional_on_matched_detection,0.8180641430069512,0.8226805111103808,0.00461636810342958,3,17;42;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,map_50,unconditional,0.16261194018585284,0.16834183498176855,0.005729894795915708,4,17;42;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,137,map_50_95,unconditional,0.054168353430577396,0.05625391469871503,0.0020855612681376368,4,17;42;271;314,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,271,precision,unconditional,0.298316891974181,0.37289611496772623,0.07457922299354525,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,271,recall,unconditional,0.0955223880597015,0.11940298507462686,0.02388059701492537,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,271,f1,unconditional,0.14266144111134127,0.1783268013891766,0.03566536027783532,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,271,iou,conditional_on_matched_detection,0.698528133351987,0.698528133351987,0.0,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,271,dice,conditional_on_matched_detection,0.8180641430069512,0.8180641430069512,0.0,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,271,map_50,unconditional,0.16261194018585284,0.1635844908440646,0.0009725506582117516,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,271,map_50_95,unconditional,0.054168353430577396,0.053815469716363265,-0.00035288371421413056,4,17;42;137;314,Descriptive deletion of seed 271; not a corrected result.
yolo11s,314,precision,unconditional,0.298316891974181,0.27975886006576545,-0.01855803190841554,4,17;42;137;271,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,314,recall,unconditional,0.0955223880597015,0.10167910447761194,0.006156716417910449,4,17;42;137;271,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,314,f1,unconditional,0.14266144111134127,0.14854623712585371,0.0058847960145124445,4,17;42;137;271,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,314,iou,conditional_on_matched_detection,0.698528133351987,0.6971010989149903,-0.0014270344369967658,3,17;42;137,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,314,dice,conditional_on_matched_detection,0.8180641430069512,0.8171611285211108,-0.0009030144858404032,3,17;42;137,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,314,map_50,unconditional,0.16261194018585284,0.1628800228585192,0.00026808267266636987,4,17;42;137;271,Seed 271 remains subject to endpoint-specific definedness.
yolo11s,314,map_50_95,unconditional,0.054168353430577396,0.05510532079274806,0.0009369673621706653,4,17;42;137;271,Seed 271 remains subject to endpoint-specific definedness.
