fp_per_image_budget,historical_faster_sensitivity,historical_yolo_sensitivity,historical_faster_minus_yolo_gap,exact_faster_sensitivity,exact_yolo_sensitivity,exact_faster_minus_yolo_gap,gap_change_exact_minus_historical,gap_change_classification,direction_status,faster_candidate_floor_limited_run_count,faster_candidate_floor_limited_seeds,yolo_candidate_floor_limited_run_count,yolo_candidate_floor_limited_seeds
0.125,0.26716417910447765,0.17611940298507464,0.09104477611940301,0.27761194029850744,0.1798507462686567,0.09776119402985073,0.0067164179104477195,strengthened,unchanged_faster_higher,0,,0,
0.25,0.3641791044776119,0.2455223880597015,0.11865671641791042,0.36641791044776123,0.2664179104477612,0.10000000000000003,-0.01865671641791039,weakened,unchanged_faster_higher,0,,0,
0.5,0.48358208955223886,0.29253731343283584,0.19104477611940301,0.48582089552238805,0.382089552238806,0.10373134328358208,-0.08731343283582094,weakened,unchanged_faster_higher,0,,0,
1.0,0.5970149253731343,0.29253731343283584,0.30447761194029843,0.5999999999999999,0.49850746268656715,0.10149253731343272,-0.2029850746268657,weakened,unchanged_faster_higher,0,,1,137
2.0,0.6873134328358209,0.29253731343283584,0.39477611940298507,0.6977611940298508,0.5880597014925373,0.10970149253731354,-0.28507462686567153,weakened,unchanged_faster_higher,0,,1,137
