detector,family,severity,metric,corruption_type_count,mean_corrupted_performance,mean_relative_performance,mean_relative_degradation
faster_rcnn,blur,1,dice,2,0.8163528037078029,1.003931772146725,-0.003931772146725021
faster_rcnn,blur,1,f1,2,0.21902673292063404,0.9187744770566855,0.08122552294331448
faster_rcnn,blur,1,iou,2,0.696036855905239,1.0058283404323052,-0.00582834043230529
faster_rcnn,blur,1,map_50,2,0.3335790086447139,0.8831544078088875,0.11684559219111246
faster_rcnn,blur,1,map_50_95,2,0.13698017633227338,0.9267801532994344,0.07321984670056558
faster_rcnn,blur,1,precision,2,0.13176082938198183,0.9154810872644192,0.08451891273558082
faster_rcnn,blur,1,recall,2,0.6486486486486487,0.935064935064935,0.06493506493506496
faster_rcnn,blur,2,dice,2,0.8114740272480241,0.9979319658437058,0.0020680341562942517
faster_rcnn,blur,2,f1,2,0.22096846964096692,0.9269196843380818,0.07308031566191814
faster_rcnn,blur,2,iou,2,0.6888876293238733,0.9954971422397074,0.004502857760292633
faster_rcnn,blur,2,map_50,2,0.3385049312676812,0.8961958467611586,0.10380415323884146
faster_rcnn,blur,2,map_50_95,2,0.13270676562557832,0.8978671212395597,0.1021328787604403
faster_rcnn,blur,2,precision,2,0.1320834844497348,0.9177229114364691,0.08227708856353094
faster_rcnn,blur,2,recall,2,0.6756756756756757,0.974025974025974,0.025974025974025927
faster_rcnn,blur,3,dice,2,0.8066768410747669,0.9920324973855075,0.007967502614492472
faster_rcnn,blur,3,f1,2,0.2067055234350007,0.8670894035000678,0.13291059649993214
faster_rcnn,blur,3,iou,2,0.6815540655999024,0.9848995622877912,0.015100437712208814
faster_rcnn,blur,3,map_50,2,0.3019582043439676,0.7994379509187312,0.20056204908126885
faster_rcnn,blur,3,map_50_95,2,0.11080837610636601,0.7497070491836102,0.2502929508163898
faster_rcnn,blur,3,precision,2,0.12231538627565085,0.8498536578892624,0.15014634211073763
faster_rcnn,blur,3,recall,2,0.6666666666666666,0.9610389610389609,0.038961038961039085
faster_rcnn,blur,4,dice,2,0.8052223022986551,0.9902437392841992,0.009756260715800769
faster_rcnn,blur,4,f1,2,0.19141657129131168,0.802955227624593,0.19704477237540696
faster_rcnn,blur,4,iou,2,0.679884166255579,0.9824864255811073,0.017513574418892675
faster_rcnn,blur,4,map_50,2,0.28655256940784235,0.7586513485056743,0.24134865149432566
faster_rcnn,blur,4,map_50_95,2,0.11133995699422523,0.7533036178983867,0.24669638210161332
faster_rcnn,blur,4,precision,2,0.1122773119455584,0.7801085959853733,0.21989140401462676
faster_rcnn,blur,4,recall,2,0.6486486486486487,0.9350649350649352,0.0649350649350649
faster_rcnn,blur,5,dice,2,0.8007016307805862,0.9846843221451695,0.015315677854830512
faster_rcnn,blur,5,f1,2,0.19155528677914507,0.8035371120735566,0.19646288792644345
faster_rcnn,blur,5,iou,2,0.6738410538597264,0.9737536499233284,0.0262463500766717
faster_rcnn,blur,5,map_50,2,0.2816180395858775,0.7455871218913006,0.25441287810869945
faster_rcnn,blur,5,map_50_95,2,0.10142290957710594,0.686206881920904,0.3137931180790961
faster_rcnn,blur,5,precision,2,0.11198828643883589,0.7781004317503533,0.22189956824964674
faster_rcnn,blur,5,recall,2,0.6621621621621622,0.9545454545454546,0.04545454545454547
faster_rcnn,compression,1,dice,1,0.8154405212150305,1.002809868264595,-0.00280986826459495
faster_rcnn,compression,1,f1,1,0.23602484472049687,0.9900782447366295,0.009921755263370469
faster_rcnn,compression,1,iou,1,0.6950131349929555,1.0043489826978231,-0.004348982697823134
faster_rcnn,compression,1,map_50,1,0.37178792275912953,0.9843129640826657,0.015687035917334335
faster_rcnn,compression,1,map_50_95,1,0.14585536652957173,0.9868278941613058,0.013172105838694215
faster_rcnn,compression,1,precision,1,0.1425891181988743,0.9907166004726979,0.00928339952730206
faster_rcnn,compression,1,recall,1,0.6846846846846847,0.987012987012987,0.012987012987012991
faster_rcnn,compression,2,dice,1,0.8156138625257721,1.0030230393941466,-0.0030230393941466094
faster_rcnn,compression,2,f1,1,0.22530864197530864,0.9451258617925283,0.05487413820747167
faster_rcnn,compression,2,iou,1,0.6943660296929348,1.0034138643280377,-0.003413864328037697
faster_rcnn,compression,2,map_50,1,0.3402617578492035,0.900847066109555,0.099152933890445
faster_rcnn,compression,2,map_50_95,1,0.13821070291095752,0.9351056471173542,0.06489435288264578
faster_rcnn,compression,2,precision,1,0.13594040968342644,0.9445210283199109,0.055478971680089084
faster_rcnn,compression,2,recall,1,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,compression,3,dice,1,0.8128200922697588,0.9995873254340165,0.00041267456598348407
faster_rcnn,compression,3,f1,1,0.23076923076923078,0.968031968031968,0.031968031968031996
faster_rcnn,compression,3,iou,1,0.691504619458356,0.999278900089974,0.0007210999100260018
faster_rcnn,compression,3,map_50,1,0.29874491763910244,0.7909307360058832,0.20906926399411685
faster_rcnn,compression,3,map_50_95,1,0.1193422683876479,0.8074456374118972,0.19255436258810277
faster_rcnn,compression,3,precision,1,0.14035087719298245,0.9751651856915013,0.024834814308498654
faster_rcnn,compression,3,recall,1,0.6486486486486487,0.935064935064935,0.06493506493506496
faster_rcnn,compression,4,dice,1,0.8021710201202445,0.9864913431256043,0.01350865687439573
faster_rcnn,compression,4,f1,1,0.2222222222222222,0.932178932178932,0.067821067821068
faster_rcnn,compression,4,iou,1,0.6757407586135536,0.9764988736333118,0.02350112636668822
faster_rcnn,compression,4,map_50,1,0.31857076465359685,0.8434199026669786,0.15658009733302136
faster_rcnn,compression,4,map_50_95,1,0.12168832215923875,0.8233185624752256,0.1766814375247744
faster_rcnn,compression,4,precision,1,0.1336996336996337,0.9289520003805718,0.0710479996194282
faster_rcnn,compression,4,recall,1,0.6576576576576577,0.9480519480519481,0.051948051948051854
faster_rcnn,compression,5,dice,1,0.8130151404361265,0.9998271911519098,0.00017280884809023345
faster_rcnn,compression,5,f1,1,0.1871508379888268,0.785061307407676,0.214938692592324
faster_rcnn,compression,5,iou,1,0.6909380526073078,0.9984601661526847,0.001539833847315264
