detector,selection_split,selection_rule,tie_breaker,selected_threshold,seed_count,validation_precision,validation_precision_std,validation_recall,validation_recall_std,validation_f1,validation_f1_std,test_precision,test_precision_std,test_recall,test_recall_std,test_f1,test_f1_std
faster_rcnn,validation,maximum arithmetic mean F1 across three validation seeds,highest threshold among exact mean-F1 ties,0.69,3,0.416449481200931,0.07691957342798401,0.44043321299638993,0.06627277888334229,0.4202466656023896,0.0077603734217001445,0.35430836177616115,0.07459544478656999,0.36069651741293535,0.060780058322739375,0.34922525436788515,0.013474555738679596
yolo11s,validation,maximum arithmetic mean F1 across three validation seeds,highest threshold among exact mean-F1 ties,0.05,3,0.40761627906976744,0.010697200444505041,0.32129963898916963,0.031472194538199834,0.358838521477681,0.02094276785821426,0.3095612153438674,0.013404690450672921,0.24378109452736316,0.03016008868901029,0.27175016035243316,0.01811032099731595
