omitted_seed_label,metric,endpoint_conditioning,detector_a_estimate,detector_b_estimate,difference_a_minus_b,full_difference_a_minus_b,change_from_full_difference,detector_a_run_count,detector_b_run_count,detector_a_run_ids,detector_b_run_ids,interpretation
17,precision,unconditional,0.21194857271663664,0.2750700280112045,-0.06312145529456786,-0.10242622253755357,0.039304767242985705,4,4,42;137;271;314,42;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
17,recall,unconditional,0.5634328358208955,0.08582089552238806,0.4776119402985075,0.48432835820895526,-0.006716417910447747,4,4,42;137;271;314,42;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
17,f1,unconditional,0.3009802701718011,0.12832680138917657,0.17265346878262455,0.14186487363545486,0.030788595147169695,4,4,42;137;271;314,42;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
17,iou,conditional_on_matched_detection,0.6754614691775394,0.6997873944149345,-0.024325925237395185,-0.02360140716090009,-0.0007245180764950954,4,3,42;137;271;314,42;137;314,Descriptive common-label deletion; labels are not matched blocks.
17,dice,conditional_on_matched_detection,0.8013322755416538,0.8186554819958441,-0.017323206454190387,-0.017059100459926868,-0.00026410599426351933,4,3,42;137;271;314,42;137;314,Descriptive common-label deletion; labels are not matched blocks.
17,map_50,unconditional,0.3063865935190189,0.15722199009310928,0.14916460342590965,0.14161186691779054,0.007552736508119107,4,4,42;137;271;314,42;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
17,map_50_95,unconditional,0.09978790848087761,0.05253716762229542,0.04725074085858219,0.045333217392926436,0.0019175234656557544,4,4,42;137;271;314,42;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
42,precision,unconditional,0.1916573340672713,0.27289611496772626,-0.08123878090045494,-0.10242622253755357,0.021187441637098625,4,4,17;137;271;314,17;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
42,recall,unconditional,0.5792910447761195,0.0876865671641791,0.49160447761194037,0.48432835820895526,0.007276119402985115,4,4,17;137;271;314,17;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
42,f1,unconditional,0.2777358155114173,0.13016816116254767,0.14756765434886962,0.14186487363545486,0.005702780713414762,4,4,17;137;271;314,17;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
42,iou,conditional_on_matched_detection,0.6732141502999669,0.6923643159791103,-0.019150165679143405,-0.02360140716090009,0.004451241481756685,4,3,17;137;271;314,17;137;314,Descriptive common-label deletion; labels are not matched blocks.
42,dice,conditional_on_matched_detection,0.7996942823471361,0.813759450400469,-0.01406516805333291,-0.017059100459926868,0.0029939324065939577,4,3,17;137;271;314,17;137;314,Descriptive common-label deletion; labels are not matched blocks.
42,map_50,unconditional,0.3028926812294185,0.16103136215180253,0.14186131907761595,0.14161186691779054,0.000249452159825414,4,4,17;137;271;314,17;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
42,map_50_95,unconditional,0.09803093075436341,0.0531298943227652,0.04490103643159821,0.045333217392926436,-0.0004321809613282296,4,4,17;137;271;314,17;137;271;314,Descriptive common-label deletion; labels are not matched blocks.
137,precision,unconditional,0.20906567142613447,0.29096334185848255,-0.08189767043234808,-0.10242622253755357,0.02052855210520549,4,4,17;42;271;314,17;42;271;314,Descriptive common-label deletion; labels are not matched blocks.
137,recall,unconditional,0.5531716417910448,0.08302238805970148,0.47014925373134336,0.48432835820895526,-0.014179104477611892,4,4,17;42;271;314,17;42;271;314,Descriptive common-label deletion; labels are not matched blocks.
137,f1,unconditional,0.2964177131372943,0.12793920448995177,0.16847850864734254,0.14186487363545486,0.026613635011887682,4,4,17;42;271;314,17;42;271;314,Descriptive common-label deletion; labels are not matched blocks.
137,iou,conditional_on_matched_detection,0.6774031816445871,0.7048597240989132,-0.02745654245432605,-0.02360140716090009,-0.0038551352934259597,4,3,17;42;271;314,17;42;314,Descriptive common-label deletion; labels are not matched blocks.
137,dice,conditional_on_matched_detection,0.8029320657779969,0.8226805111103808,-0.019748445332383846,-0.017059100459926868,-0.002689344872456978,4,3,17;42;271;314,17;42;314,Descriptive common-label deletion; labels are not matched blocks.
137,map_50,unconditional,0.3002595931707116,0.16834183498176855,0.13191775818894305,0.14161186691779054,-0.00969410872884749,4,4,17;42;271;314,17;42;271;314,Descriptive common-label deletion; labels are not matched blocks.
137,map_50_95,unconditional,0.09857101290962549,0.05625391469871503,0.04231709821091045,0.045333217392926436,-0.0030161191820159833,4,4,17;42;271;314,17;42;271;314,Descriptive common-label deletion; labels are not matched blocks.
271,precision,unconditional,0.18366542012911763,0.37289611496772623,-0.1892306948386086,-0.10242622253755357,-0.08680447230105504,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
271,recall,unconditional,0.5932835820895522,0.11940298507462686,0.47388059701492535,0.48432835820895526,-0.010447761194029903,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
271,f1,unconditional,0.2721270877462914,0.1783268013891766,0.09380028635711482,0.14186487363545486,-0.04806458727834004,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
271,iou,conditional_on_matched_detection,0.6746060139732795,0.698528133351987,-0.023922119378707585,-0.02360140716090009,-0.00032071221780749504,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
271,dice,conditional_on_matched_detection,0.8007261769779829,0.8180641430069512,-0.01733796602896831,-0.017059100459926868,-0.0002788655690414421,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
271,map_50,unconditional,0.3002136403541471,0.1635844908440646,0.1366291495100825,0.14161186691779054,-0.004982717407708032,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
271,map_50_95,unconditional,0.09885444912724925,0.053815469716363265,0.045038979410885985,0.045333217392926436,-0.0002942379820404517,4,4,17;42;137;314,17;42;137;314,Descriptive seed-label deletion showing seed 271 influence; its exclusion is not a corrected analysis.
314,precision,unconditional,0.18311634884397707,0.27975886006576545,-0.09664251122178838,-0.10242622253755357,0.005783711315765189,4,4,17;42;137;271,17;42;137;271,Descriptive common-label deletion; labels are not matched blocks.
314,recall,unconditional,0.6100746268656716,0.10167910447761194,0.5083955223880596,0.48432835820895526,0.024067164179104372,4,4,17;42;137;271,17;42;137;271,Descriptive common-label deletion; labels are not matched blocks.
314,f1,unconditional,0.27537068716717666,0.14854623712585371,0.12682445004132295,0.14186487363545486,-0.015040423594131908,4,4,17;42;137;271,17;42;137;271,Descriptive common-label deletion; labels are not matched blocks.
314,iou,conditional_on_matched_detection,0.6739488158600622,0.6971010989149903,-0.023152283054928113,-0.02360140716090009,0.0004491241059719764,4,3,17;42;137;271,17;42;137,Descriptive common-label deletion; labels are not matched blocks.
