detector,threshold,seed_count,precision,precision_std,precision_mean_plus_minus_std,recall,recall_std,recall_mean_plus_minus_std,f1,f1_std,f1_mean_plus_minus_std
faster_rcnn,0.62,3,0.2970047471171356,0.03925170197139796,0.297005 ± 0.0392517,0.43283582089552236,0.01709916304088002,0.432836 ± 0.0170992,0.35093834328750423,0.026705804693413653,0.350938 ± 0.0267058
faster_rcnn,0.63,3,0.3064367187655032,0.0393596877834086,0.306437 ± 0.0393597,0.42661691542288555,0.02750415968594029,0.426617 ± 0.0275042,0.3548666363928297,0.022776094574209475,0.354867 ± 0.0227761
faster_rcnn,0.64,3,0.3111761598895084,0.04356048479051704,0.311176 ± 0.0435605,0.4129353233830846,0.03260035428378398,0.412935 ± 0.0326004,0.35259570197954476,0.023431812532629895,0.352596 ± 0.0234318
faster_rcnn,0.65,3,0.3193346379051259,0.05103121962311768,0.319335 ± 0.0510312,0.40298507462686567,0.03559474632152783,0.402985 ± 0.0355947,0.3529178415286549,0.020823564970651756,0.352918 ± 0.0208236
faster_rcnn,0.66,3,0.32720768723404425,0.05119715498870246,0.327208 ± 0.0511972,0.3917910447761194,0.045393750226106123,0.391791 ± 0.0453938,0.3525286521182009,0.01850067084662747,0.352529 ± 0.0185007
faster_rcnn,0.67,3,0.33671322281869953,0.05083721215588724,0.336713 ± 0.0508372,0.38308457711442784,0.050660228493572886,0.383085 ± 0.0506602,0.3537729636938414,0.012078123287652797,0.353773 ± 0.0120781
faster_rcnn,0.68,3,0.3466725918308842,0.06397320103874962,0.346673 ± 0.0639732,0.3706467661691542,0.05950683439754074,0.370647 ± 0.0595068,0.3513901751529879,0.013702945061079061,0.35139 ± 0.0137029
faster_rcnn,0.69,3,0.35430836177616115,0.07459544478656999,0.354308 ± 0.0745954,0.36069651741293535,0.060780058322739375,0.360697 ± 0.0607801,0.34922525436788515,0.013474555738679596,0.349225 ± 0.0134746
faster_rcnn,0.7,3,0.3631374787848211,0.08247902303392698,0.363137 ± 0.082479,0.3432835820895523,0.07835820895522387,0.343284 ± 0.0783582,0.341117020091149,0.01962095629403676,0.341117 ± 0.019621
faster_rcnn,0.71,3,0.3758134746362618,0.09861203644195621,0.375813 ± 0.098612,0.3233830845771144,0.08396213349123219,0.323383 ± 0.0839621,0.33250757186709523,0.024511082840228397,0.332508 ± 0.0245111
faster_rcnn,0.72,3,0.3944963062610121,0.12561576558674,0.394496 ± 0.125616,0.31094527363184077,0.08903248839887205,0.310945 ± 0.0890325,0.3277371100997999,0.026767953713370037,0.327737 ± 0.026768
faster_rcnn,0.73,3,0.420773337526488,0.1482525805698255,0.420773 ± 0.148253,0.30223880597014924,0.09520411061323189,0.302239 ± 0.0952041,0.32785586536367245,0.03510891365095353,0.327856 ± 0.0351089
faster_rcnn,0.74,3,0.42816297768125317,0.14267683450001817,0.428163 ± 0.142677,0.2885572139303482,0.10582377249455614,0.288557 ± 0.105824,0.31889347405950436,0.05194035764622921,0.318893 ± 0.0519404
faster_rcnn,0.75,3,0.4446040875305684,0.15460992385496086,0.444604 ± 0.15461,0.26865671641791045,0.1283386829994018,0.268657 ± 0.128339,0.3006865680670236,0.08431302876153206,0.300687 ± 0.084313
faster_rcnn,0.76,3,0.4808296117701855,0.19892726928585025,0.48083 ± 0.198927,0.2524875621890547,0.1327295678801403,0.252488 ± 0.13273,0.28938117075737024,0.0982736973378186,0.289381 ± 0.0982737
faster_rcnn,0.77,3,0.481602596218512,0.16032347608202777,0.481603 ± 0.160323,0.2350746268656716,0.15325785655158844,0.235075 ± 0.153258,0.2714267750481753,0.1405538608204831,0.271427 ± 0.140554
faster_rcnn,0.78,3,0.5394917582417582,0.23688210709255483,0.539492 ± 0.236882,0.2189054726368159,0.14898919342666025,0.218905 ± 0.148989,0.26099520337926385,0.14695913148913284,0.260995 ± 0.146959
faster_rcnn,0.79,3,0.563241615657376,0.2363399904227968,0.563242 ± 0.23634,0.20771144278606965,0.14898919342666025,0.207711 ± 0.148989,0.2544746417985855,0.1585563665925366,0.254475 ± 0.158556
faster_rcnn,0.8,3,0.5436206896551724,0.18220777428069151,0.543621 ± 0.182208,0.19029850746268653,0.15671641791044774,0.190299 ± 0.156716,0.23411770183953637,0.18374658203482672,0.234118 ± 0.183747
faster_rcnn,0.81,3,0.6400220273647647,0.3130354731557356,0.640022 ± 0.313035,0.17786069651741296,0.15372651298985449,0.177861 ± 0.153727,0.2250492970392626,0.18917840115963466,0.225049 ± 0.189178
faster_rcnn,0.82,3,0.31782945736434104,0.2762290822108036,0.317829 ± 0.276229,0.16791044776119404,0.15060026918366096,0.16791 ± 0.1506,0.2176582579723941,0.19057437683065354,0.217658 ± 0.190574
faster_rcnn,0.83,3,0.33559007035709537,0.29264062645547295,0.33559 ± 0.292641,0.15671641791044777,0.14412841728229825,0.156716 ± 0.144128,0.2101655607807769,0.1859824512383587,0.210166 ± 0.185982
faster_rcnn,0.84,3,0.3586587436332767,0.3152867527577041,0.358659 ± 0.315287,0.14925373134328357,0.14085512006102144,0.149254 ± 0.140855,0.20541261201825278,0.18386726187832134,0.205413 ± 0.183867
faster_rcnn,0.85,3,0.3761528326745718,0.3307041924001265,0.376153 ± 0.330704,0.1380597014925373,0.13123511488857442,0.13806 ± 0.131235,0.1967788560809416,0.1775034786532656,0.196779 ± 0.177503
faster_rcnn,0.86,3,0.39692307692307693,0.3497657711591519,0.396923 ± 0.349766,0.12686567164179105,0.12877189497565222,0.126866 ± 0.128772,0.1847602793843431,0.17448636328356096,0.18476 ± 0.174486
faster_rcnn,0.87,3,0.39797979797979793,0.35163703912553196,0.39798 ± 0.351637,0.10696517412935323,0.1082303976010303,0.106965 ± 0.10823,0.16250782272287648,0.15424103246495952,0.162508 ± 0.154241
faster_rcnn,0.88,3,0.3987272328286153,0.3485013358264314,0.398727 ± 0.348501,0.09203980099502489,0.10186863298230484,0.0920398 ± 0.101869,0.14295374380905387,0.1477547635457816,0.142954 ± 0.147755
faster_rcnn,0.89,3,0.43526570048309177,0.3866886478046191,0.435266 ± 0.386689,0.0845771144278607,0.09689525723165333,0.0845771 ± 0.0968953,0.13391822969660902,0.14322394561595678,0.133918 ± 0.143224
faster_rcnn,0.9,3,0.4454064454064454,0.40102028687509084,0.445406 ± 0.40102,0.0708955223880597,0.08183474701291533,0.0708955 ± 0.0818347,0.11572582007364617,0.12558986969032856,0.115726 ± 0.12559
